App,FP,Note,Type of change (merged by both author),Version,commit,TestFilePath,ProductionFilePath,Maintenance Label,What Initially Motivated the Commit?,Do Developers Remove Smell due to Awareness?,How is the smell removed,known RF Found for removing smell,does refactoring align with main motivation? Or is it byNAproduct?,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test
groovy,-,test written for incomplete code,CUT,src,e21d6226b9a4cc411fb0e7d24cf7b6023edc9002,\groovy\src\test\groovy\security\SecurityTest.java,NA,bug [ fix insufficient implementation (not working well) ],"ensure groovy script has proper permission prior to run. To do this, Abstract securitytestsupport class on securitytest.java must check whether permission is granted [new feature]",FALSE,"[Conditional Test Logic] } notyetimplemented() is used in conditional statement to prevent test from executing. However, test code gets deleted rather than adding implementation. [Ignore] Was initially placed on the entire class because the test class was not working. However, removed after fxing test",-,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
groovy,-,refactor test code [delete print and replace with assertion],RFT [ Replace print with Assertion ],src,E:\testSmellResearch\repo\groovy\src\test\org\codehaus\groovy\runtime\MethodFailureTest.java,\groovy\src\test\org\codehaus\groovy\runtime\MethodFailureTest.java,NA,refactor test,developer notices that all test had print statement rather than assertions [refactor],TRUE,replaced all print statement with assertion,-,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
groovy,-,delete test code while intention to is to refactor test code,D-W-RFT,src,0eb78550969677add05ee98a03be3b40537007ca,\groovy\src\test\java\org\apache\groovy\util\concurrentlinkedhashmap\ConcurrentLinkedHashMapTest.java,\groovy\src\main\java\org\apache\groovy\util\concurrentlinkedhashmap\ConcurrentLinkedHashMap.java,refactor test,refactoring test [clean code],FALSE,"deletes thread.sleep, but intention is not clear [do not discuss]",-,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
kafka,-,refactor test while fixing a bug,RFT-W-BF,streams,f9865d52e81bbdddb7889d6c3cc7be537e610826,\kafka\streams\src\test\java\org\apache\kafka\streams\integration\ResetIntegrationTest.java,NA,bug fixing [ missing feature ],"StreamsResetter class is not configuriable. Thus, adds a new argument to every method in the class [bug][however, test smell removed here is not related to main intention of the commit] [by-product]",FALSE,Refactoring [SMELL PERSISTS],"EXTRACT SUPERCLASS, PULLL UP",FALSE [General Maintenance Task],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,-,removed test case due to change in feature improvement,D-W-FI,streams,1dd85a328f437643a5c135f242c644f47c3767e4,\kafka\streams\src\test\java\org\apache\kafka\streams\kstream\WindowsTest.java,\kafka\streams\src\main\java\org\apache\kafka\streams\kstream\Windows.java,feature improvement,restructure code to favour immutable implementation,FALSE,deletes method because user does not have access to API to set grace period [OBSOLETE],-,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kafka,-,removed test case due to change in feature improvement,D-W-FI,streams,b3771ba22acad7870e38ff7f58820c5b50946787,\kafka\streams\src\test\java\org\apache\kafka\streams\kstream\TimeWindowsTest.java,\kafka\streams\src\main\java\org\apache\kafka\streams\kstream\TimeWindows.java,feature improvement,deprecate,FALSE,Deletes the code because shouldn't override if unused [UNUSED],-,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kafka,-,refactor/add test while adding new feature/improvement,RFT-W-FA,tools,832b096f4fcfde9e90d796470eb0ce2a26283e81,\kafka\tools\src\test\java\org\apache\kafka\trogdor\agent\AgentTest.java,\kafka\tools\src\main\java\org\apache\kafka\trogdor\agent\Agent.java,feature improvement,improve agent.java to destroy records,FALSE,-,-,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
kafka,-,removed test case while fixing bug,RM-W-BF,streams,b1aa1912f08765d9914e3d036deee6b71ea009dd,\kafka\streams\src\test\java\org\apache\kafka\streams\kstream\internals\WindowedStreamPartitionerTest.java,\kafka\streams\src\main\java\org\apache\kafka\streams\kstream\internals\WindowedStreamPartitioner.java,bug fixing [ expose feature to public ],expose API to public,FALSE,-,-,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
kafka,-,refactor test cases after a bug fix,RFT-A-FA,streams,7ebc5da606fb806bde8b7176fed0e60243e0f7f3,\kafka\streams\src\test\java\org\apache\kafka\streams\kstream\internals\SessionKeySerdeTest.java,\kafka\streams\src\main\java\org\apache\kafka\streams\kstream\internals\SessionKeySerde.java,new feature,"introduces a new feature, thus adds a new unit test, followed by refactoring.",TRUE,"replaces magic number with variable, which is more readable",-,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kafka,-,refactor test cases,RFT [ exception ],streams,c5464edbb7a6821e0a91a3712b1fe2fd92a22d68,\kafka\streams\src\test\java\org\apache\kafka\streams\state\internals\MergedSortedCacheWrappedWindowStoreKeyValueIteratorTest.java,NA,refactor test [related to exception handling],"""Now instead of just generic `Exception` methods declare more concrete
  exceptions throwing or don't declare any throwing at all, if not needed.""",TRUE,"removes throw exception because generic exception is not needed ""just a noise"" - but developer insists on enumerating exception, while other thinks it's overkill or wonder why it's needed. Thus they decide ""are you ok if we keep the cleanup but whenever we have more than one specific exception we just throw Exception.""",-,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
