project,AR,CTL,CI,ET,ECT,GF,MG,PS,RA,SE,ST,EG,LT,DA,UT,IT,RO,MNT
accumulo,-5.024619544,1.071504558,-40.16701288,-78.71852541,-21.33686968,-13.1176761,-40.16701288,-62.78316079,-92.73289813,-32.07200647,-1.633845658,7.591278034,-3.522888667,-1.93175788,-8.697838587,28.2023798,-35.22926848,11.01062073
bookkeeper,60.51895281,1.222637147,-41.8041109,inf,22.92448414,12.15686798,-18.95328926,60.2397335,133.637695,150.4690968,-68.45430057,129.4921752,144.0454929,11.91466796,132.9472217,25.06036268,-16.52463555,74.21948924
camel,7.831310186,8.532710858,38.26349804,-27.539284,3.149602605,14.31817036,-17.0569962,-18.13888703,-51.54065279,-10.10412241,-32.96289007,12.28580657,22.88718294,18.95233597,21.05323438,24.79162259,7.437452311,7.725915519
cassandra,17.75345329,-11.55371145,101.2763229,inf,-5.162028024,54.7918988,1.086010712,-26.72458626,16.46374925,58.70855624,-13.54507108,15.06923343,7.452759266,10.09497326,-13.46961414,0.800374645,1.858835598,5.191666613
cxf,0.112516804,0.975377407,-5.905306705,-12.22299965,-2.697406249,-8.083871974,-9.680452014,23.93700989,0.021980551,-7.333164757,12.0203121,-3.421639013,-1.402439152,-0.838588084,-13.37434432,-19.54445017,-9.071489108,12.81246924
flink,5.42671883,-20.30594105,-3.967817751,82.74854194,14.72493029,133.4461301,8.454896661,-119.5828033,-30.69034054,52.38794789,-36.14231904,23.87950887,7.585202204,-7.505005495,46.40297232,78.00896707,4.276565644,10.37015202
groovy,13.90883063,-22.57626837,-3.923685134,-47.20064116,-10.36304876,32.96652475,-19.27920608,-51.03646221,-64.0091534,-15.91537861,inf,47.66182223,54.32563369,-24.10059142,-11.25845084,-19.27920608,-35.22014536,-6.68834693
hive,-13.87802126,-14.93979042,16.72531927,-11.98934185,11.65158667,6.718173746,15.8343963,-30.30878695,-20.85444284,-45.57980696,49.3705376,-15.74511792,-1.351138425,-4.82753257,13.80030285,37.85443166,5.25632898,-15.46309956
kafka,0.948407919,-13.82266805,-9.414451784,-98.22193881,-5.457080214,97.25845381,-125.4289041,200,75.71229033,105.7090343,-6.342121599,0.824939484,2.442894868,-26.5543623,14.49881874,25.85035427,-112.5824406,-31.55229546
karaf,7.687906903,-10.26274004,-27.85759656,-27.85759656,-1.324721048,27.28854737,-8.618936658,14.88879046,-27.85759656,46.47271616,116.2726596,24.8233891,26.67862261,-10.44131141,-14.40901562,42.67101998,-3.923170627,9.576338864
wicket,-137.1064903,-121.3194937,-7.589958755,-200,-139.229136,-190.9339225,-63.08206827,-152.018097,-148.1034101,-152.018097,200,-139.9653357,-137.7030524,-144.9462307,-156.9872397,191.1312747,-130.0247426,-137.5290052
zookeeper,13.06929974,-1.579285256,16.99709559,-36.44966552,6.868463352,31.25603281,-11.39611138,-14.521501,-36.44966552,-15.47306339,-12.16042912,26.9952679,39.82445097,-0.817308321,-14.28207499,6.667879449,-8.431301853,7.130649183
hadoop,2.271824708,-9.055917707,0.612851221,-10.78392343,-0.471624413,5.076946809,7.347804843,-19.17384736,-22.33149548,38.77551562,-11.25621329,3.696295706,2.673618907,1.496489935,-2.722175787,-5.09779877,3.569669205,2.684781882
