project,AR,CTL,CI,ET,ECT,GF,MG,PS,RA,SE,ST,EG,LT,DA,UT,IT,RO,MNT
accumulo,9,15,-27,-67,-8,1,-27,-50,-81,-18,12,21,10,12,5,42,-22,25
bookkeeper,134,92,55,0,109,101,76,133,172,180,27,170,177,101,172,110,78,142
camel,32,33,62,-3,28,39,8,7,-28,15,-8,37,47,43,45,49,32,32
cassandra,77,51,141,0,57,107,62,36,76,110,49,75,68,70,49,62,63,66
cxf,12,13,6,0,10,4,3,36,12,5,24,9,11,11,-1,-7,3,25
flink,86,64,78,141,94,169,89,-50,55,121,49,101,88,75,117,138,85,90
groovy,33,-3,15,-29,9,51,0,-33,-46,3,0,65,72,-5,8,0,-16,13
hive,38,37,67,40,62,58,66,22,31,6,95,36,50,47,64,85,56,37
kafka,142,134,137,67,139,178,29,200,171,180,138,142,143,127,149,153,48,124
karaf,35,18,0,0,27,54,19,42,0,72,133,52,54,18,14,68,24,37
wicket,-135,-118,-3,-200,-137,-191,-59,-150,-146,-150,200,-138,-135,-143,-155,192,-127,-135
zookeeper,49,35,53,0,43,66,25,22,0,21,25,62,74,36,22,43,28,43
hadoop,47,36,45,34,44,49,51,26,23,80,34,48,47,46,42,40,48,47
