project,version,AR,CTL,CI,ET,ECT,GF,MG,PS,RA,SE,ST,EG,LT,DA,UT,IT,RO,MNT
accumulo,1/1/2016,647,223,17,2,814,263,34,5,38,89,23,584,3514,181,244,19,41,258
accumulo,7/1/2016,648,225,17,2,792,253,34,4,29,79,22,597,3409,174,238,25,40,261
accumulo,1/1/2017,691,247,17,2,870,279,34,6,36,82,22,674,3829,185,256,29,39,287
accumulo,7/1/2017,698,254,17,2,870,275,27,6,36,82,23,668,3822,190,258,29,32,295
accumulo,1/1/2018,712,262,17,2,908,297,27,6,37,82,25,682,3897,195,271,32,32,297
accumulo,7/1/2018,704,266,16,2,859,272,26,5,17,79,26,682,3835,194,257,32,33,329
accumulo,1/1/2019,707,259,13,1,755,265,26,3,16,74,26,724,3898,204,257,29,33,331
bookkeeper,1/1/2016,195,252,74,0,615,183,59,2,2,1,95,62,190,118,27,22,69,96
bookkeeper,7/1/2016,218,141,3,0,464,129,2,0,1,0,24,210,840,81,0,17,2,140
bookkeeper,1/1/2017,219,140,3,0,452,134,2,0,1,0,22,208,814,81,0,25,2,139
bookkeeper,7/1/2017,177,249,80,0,547,125,70,3,3,2,84,143,744,118,9,8,83,138
bookkeeper,1/1/2018,330,319,103,0,799,181,91,6,15,10,84,220,1092,152,142,11,105,206
bookkeeper,7/1/2018,859,625,126,0,1882,513,116,10,27,17,119,721,2910,336,307,57,142,505
bookkeeper,1/1/2019,978,685,130,0,2079,555,131,10,27,19,125,778,3137,357,360,76,157,562
camel,1/1/2016,4740,1309,81,71,12641,773,409,29,37,321,496,1171,4490,770,1305,324,320,2318
camel,7/1/2016,4829,1400,92,63,13453,809,406,27,28,307,499,1241,4760,777,1677,379,319,2341
camel,1/1/2017,5173,1499,102,69,14242,864,417,28,28,311,502,1286,4929,827,1731,400,354,2512
camel,7/1/2017,5769,1583,127,73,15345,926,427,31,29,328,534,1403,5408,926,1808,454,379,2831
camel,1/1/2018,6025,1624,154,70,15991,888,430,31,29,337,475,1447,5603,958,1937,484,396,2960
camel,7/1/2018,6377,1656,163,70,16631,922,448,31,29,354,477,1596,6754,1053,2026,522,411,3070
camel,1/1/2019,6573,1828,153,69,16727,1144,442,31,28,372,456,1698,7245,1194,2067,533,442,3211
cassandra,1/1/2016,585,569,4,0,1562,98,84,25,18,20,62,366,2130,213,543,149,87,390
cassandra,7/1/2016,711,683,11,0,1917,123,117,33,22,36,59,492,2951,275,674,191,125,455
cassandra,1/1/2017,780,755,11,0,2078,115,116,33,34,40,64,562,3308,293,699,204,124,515
cassandra,7/1/2017,870,792,11,0,2232,124,118,32,35,42,68,601,3508,321,719,214,126,569
cassandra,1/1/2018,1080,832,18,0,2500,223,127,35,36,48,87,676,3828,370,813,247,133,633
cassandra,7/1/2018,1181,891,20,0,2665,299,141,36,37,62,95,740,4036,402,842,251,150,704
cassandra,1/1/2019,1317,955,23,0,2795,324,160,36,40,69,102,802,4324,444,894,283,167,774
cxf,1/1/2016,2845,807,153,11,5644,826,271,16,23,418,91,1302,4797,588,1479,183,218,1232
