App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
accumulo,0_1e087bad3681e0f1fc9d7d35a6ed753a0435a181_ThriftScannerTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10/files/0_1e087bad3681e0f1fc9d7d35a6ed753a0435a181_ThriftScannerTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10/files/0_1e087bad3681e0f1fc9d7d35a6ed753a0435a181_ThriftScanner.java,2016-08-10_TO_2017-02-10/files/0_1e087bad3681e0f1fc9d7d35a6ed753a0435a181_ThriftScannerTest.java,2016-08-10_TO_2017-02-10/files/0_1e087bad3681e0f1fc9d7d35a6ed753a0435a181_ThriftScanner.java,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accumulo,1_5ead817bc21919c40e5966d2d096ebceb96614b3_TestClientOpts.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10//files//1_5ead817bc21919c40e5966d2d096ebceb96614b3_TestClientOpts.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10//files//1_5ead817bc21919c40e5966d2d096ebceb96614b3_ClientOpts.java,2016-08-10_TO_2017-02-10//files//1_5ead817bc21919c40e5966d2d096ebceb96614b3_TestClientOpts.java,2016-08-10_TO_2017-02-10//files//1_5ead817bc21919c40e5966d2d096ebceb96614b3_ClientOpts.java,2,0,0,0,0,5,0,4,0,0,0,0,0,4,8,1,0,0,4,1,0
accumulo,1_4f2e64728292af22d07b1907b6ec2d432f8564e2_TestClientOpts.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10/files/1_4f2e64728292af22d07b1907b6ec2d432f8564e2_TestClientOpts.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10/files/1_4f2e64728292af22d07b1907b6ec2d432f8564e2_ClientOpts.java,2016-08-10_TO_2017-02-10/files/1_4f2e64728292af22d07b1907b6ec2d432f8564e2_TestClientOpts.java,2016-08-10_TO_2017-02-10/files/1_4f2e64728292af22d07b1907b6ec2d432f8564e2_ClientOpts.java,2,0,0,0,0,5,0,4,0,0,0,0,0,4,8,1,0,0,4,1,0
accumulo,2_5ead817bc21919c40e5966d2d096ebceb96614b3_TableOperationsHelperTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10//files//2_5ead817bc21919c40e5966d2d096ebceb96614b3_TableOperationsHelperTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10//files//2_5ead817bc21919c40e5966d2d096ebceb96614b3_TableOperationsHelper.java,2016-08-10_TO_2017-02-10//files//2_5ead817bc21919c40e5966d2d096ebceb96614b3_TableOperationsHelperTest.java,2016-08-10_TO_2017-02-10//files//2_5ead817bc21919c40e5966d2d096ebceb96614b3_TableOperationsHelper.java,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
accumulo,2_4f2e64728292af22d07b1907b6ec2d432f8564e2_TableOperationsHelperTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10/files/2_4f2e64728292af22d07b1907b6ec2d432f8564e2_TableOperationsHelperTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10/files/2_4f2e64728292af22d07b1907b6ec2d432f8564e2_TableOperationsHelper.java,2016-08-10_TO_2017-02-10/files/2_4f2e64728292af22d07b1907b6ec2d432f8564e2_TableOperationsHelperTest.java,2016-08-10_TO_2017-02-10/files/2_4f2e64728292af22d07b1907b6ec2d432f8564e2_TableOperationsHelper.java,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
accumulo,3_5ead817bc21919c40e5966d2d096ebceb96614b3_TabletLocatorImplTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10//files//3_5ead817bc21919c40e5966d2d096ebceb96614b3_TabletLocatorImplTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10//files//3_5ead817bc21919c40e5966d2d096ebceb96614b3_TabletLocatorImpl.java,2016-08-10_TO_2017-02-10//files//3_5ead817bc21919c40e5966d2d096ebceb96614b3_TabletLocatorImplTest.java,2016-08-10_TO_2017-02-10//files//3_5ead817bc21919c40e5966d2d096ebceb96614b3_TabletLocatorImpl.java,0,1,0,0,0,17,18,0,0,1,0,0,0,1,17,0,17,0,0,0,0
accumulo,3_4f2e64728292af22d07b1907b6ec2d432f8564e2_TabletLocatorImplTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10/files/3_4f2e64728292af22d07b1907b6ec2d432f8564e2_TabletLocatorImplTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10/files/3_4f2e64728292af22d07b1907b6ec2d432f8564e2_TabletLocatorImpl.java,2016-08-10_TO_2017-02-10/files/3_4f2e64728292af22d07b1907b6ec2d432f8564e2_TabletLocatorImplTest.java,2016-08-10_TO_2017-02-10/files/3_4f2e64728292af22d07b1907b6ec2d432f8564e2_TabletLocatorImpl.java,0,1,0,0,0,17,18,0,0,1,0,0,0,1,17,0,17,0,0,0,0
accumulo,4_5ead817bc21919c40e5966d2d096ebceb96614b3_RangeInputSplitTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10//files//4_5ead817bc21919c40e5966d2d096ebceb96614b3_RangeInputSplitTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10//files//4_5ead817bc21919c40e5966d2d096ebceb96614b3_RangeInputSplit.java,2016-08-10_TO_2017-02-10//files//4_5ead817bc21919c40e5966d2d096ebceb96614b3_RangeInputSplitTest.java,2016-08-10_TO_2017-02-10//files//4_5ead817bc21919c40e5966d2d096ebceb96614b3_RangeInputSplit.java,2,0,0,0,0,2,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0
accumulo,4_4f2e64728292af22d07b1907b6ec2d432f8564e2_RangeInputSplitTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10/files/4_4f2e64728292af22d07b1907b6ec2d432f8564e2_RangeInputSplitTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10/files/4_4f2e64728292af22d07b1907b6ec2d432f8564e2_RangeInputSplit.java,2016-08-10_TO_2017-02-10/files/4_4f2e64728292af22d07b1907b6ec2d432f8564e2_RangeInputSplitTest.java,2016-08-10_TO_2017-02-10/files/4_4f2e64728292af22d07b1907b6ec2d432f8564e2_RangeInputSplit.java,2,0,0,0,0,2,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0
accumulo,5_5ead817bc21919c40e5966d2d096ebceb96614b3_RangeInputSplitTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10//files//5_5ead817bc21919c40e5966d2d096ebceb96614b3_RangeInputSplitTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10//files//5_5ead817bc21919c40e5966d2d096ebceb96614b3_RangeInputSplit.java,2016-08-10_TO_2017-02-10//files//5_5ead817bc21919c40e5966d2d096ebceb96614b3_RangeInputSplitTest.java,2016-08-10_TO_2017-02-10//files//5_5ead817bc21919c40e5966d2d096ebceb96614b3_RangeInputSplit.java,2,0,0,0,0,2,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0
accumulo,5_4f2e64728292af22d07b1907b6ec2d432f8564e2_RangeInputSplitTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10/files/5_4f2e64728292af22d07b1907b6ec2d432f8564e2_RangeInputSplitTest.java,/hdd/dj/testSmellDetection/data/accumulo/2016-08-10_TO_2017-02-10/files/5_4f2e64728292af22d07b1907b6ec2d432f8564e2_RangeInputSplit.java,2016-08-10_TO_2017-02-10/files/5_4f2e64728292af22d07b1907b6ec2d432f8564e2_RangeInputSplitTest.java,2016-08-10_TO_2017-02-10/files/5_4f2e64728292af22d07b1907b6ec2d432f8564e2_RangeInputSplit.java,2,0,0,0,0,2,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0
