parent_commit,parent_test_file,current_commit,current_test_file,committer,committed_date,change_type,parent_prod_file,current_prod_file
,,9cd4be0432c7b0297d86b19ddeac64ed0feaea87,core/src/test/java/org/apache/accumulo/core/client/summary/summarizers/EntryLengthSummarizersTest.java,Keith Turner,1510696703,A,,
,,e738351fcdf2359997814c2cf105875702799265,server/base/src/test/java/org/apache/accumulo/server/tables/IllegalTableTransitionExceptionTest.java,Mike Miller,1512065481,A,,
9d806c86f1efbe2445ef7283351d8490805ce674,core/src/test/java/org/apache/accumulo/core/security/crypto/CryptoTest.java,03139a35f39b54f4bb57a4c26fba105d1dfae1f5,core/src/test/java/org/apache/accumulo/core/security/crypto/CryptoTest.java,Keith Turner,1512066645,M,,
d4722bf1b45df2b5521ad494275a36127c9394f3,core/src/test/java/org/apache/accumulo/core/client/rfile/RFileTest.java,ed313f7703b49343825be26c31f6eed81bc37d83,core/src/test/java/org/apache/accumulo/core/client/rfile/RFileTest.java,Keith Turner,1512073482,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/file/rfile/RFile.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/file/rfile/RFile.java
d4722bf1b45df2b5521ad494275a36127c9394f3,core/src/test/java/org/apache/accumulo/core/file/rfile/MultiLevelIndexTest.java,ed313f7703b49343825be26c31f6eed81bc37d83,core/src/test/java/org/apache/accumulo/core/file/rfile/MultiLevelIndexTest.java,Keith Turner,1512073482,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/file/rfile/MultiLevelIndex.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/file/rfile/MultiLevelIndex.java
d4722bf1b45df2b5521ad494275a36127c9394f3,core/src/test/java/org/apache/accumulo/core/file/rfile/RFileTest.java,ed313f7703b49343825be26c31f6eed81bc37d83,core/src/test/java/org/apache/accumulo/core/file/rfile/RFileTest.java,Keith Turner,1512073482,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/file/rfile/RFile.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/file/rfile/RFile.java
,,c28e11c1079d2e1c6d68078b3328016569138fed,core/src/test/java/org/apache/accumulo/core/file/rfile/RolllingStatsTest.java,Keith Turner,1512091273,A,,
1c42be28c4e7613cacc01ad542b6c32a7030b764,core/src/test/java/org/apache/accumulo/core/file/blockfile/cache/TestLruBlockCache.java,d1d9344082702206278b3eee442351479171e644,core/src/test/java/org/apache/accumulo/core/file/blockfile/cache/TestLruBlockCache.java,GitHub,1512150836,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/file/blockfile/cache/lru/LruBlockCache.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/file/blockfile/cache/lru/LruBlockCache.java
1c42be28c4e7613cacc01ad542b6c32a7030b764,core/src/test/java/org/apache/accumulo/core/file/rfile/BlockIndexTest.java,d1d9344082702206278b3eee442351479171e644,core/src/test/java/org/apache/accumulo/core/file/rfile/BlockIndexTest.java,GitHub,1512150836,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/file/rfile/BlockIndex.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/file/rfile/BlockIndex.java
1c42be28c4e7613cacc01ad542b6c32a7030b764,core/src/test/java/org/apache/accumulo/core/file/rfile/MultiLevelIndexTest.java,d1d9344082702206278b3eee442351479171e644,core/src/test/java/org/apache/accumulo/core/file/rfile/MultiLevelIndexTest.java,GitHub,1512150836,M,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/file/rfile/MultiLevelIndex.java,/hdd/dj/testSmellDetection/gitRepo/accumulo/core/src/main/java/org/apache/accumulo/core/file/rfile/MultiLevelIndex.java
