,parent_commit,parent_test_file,current_commit,current_test_file,committer,committed_date,change_type,parent_prod_file,current_prod_file,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
0,d31dcbf6ba3a737d66ec3958f8443b007d4e5fad,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java,1dc9789e89a6bf167ed965edb1ab51fbc449d897,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java,Enrico Olivelli,1508311457,M,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,d31dcbf6ba3a737d66ec3958f8443b007d4e5fad,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/LedgerCacheTest.java,1dc9789e89a6bf167ed965edb1ab51fbc449d897,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/LedgerCacheTest.java,Enrico Olivelli,1508311457,M,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,84ecaa8201bb97a041ed733ba015e2fe62d39a56,src/test/java/org/apache/distributedlog/impl/TestZKLogMetadataStore.java,9f55ccc7d75a4beedb96aaaeb0a9ca1357977482,src/test/java/org/apache/distributedlog/impl/TestZKLogMetadataStore.java,Sijie Guo,1508364856,M,/hdd/dj/testSmellDetection/gitRepo/bookkeeper/src/main/java/org/apache/distributedlog/impl/ZKLogMetadataStore.java,/hdd/dj/testSmellDetection/gitRepo/bookkeeper/src/main/java/org/apache/distributedlog/impl/ZKLogMetadataStore.java,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
3,84ecaa8201bb97a041ed733ba015e2fe62d39a56,src/test/java/org/apache/distributedlog/impl/federated/TestFederatedZKLogMetadataStore.java,9f55ccc7d75a4beedb96aaaeb0a9ca1357977482,src/test/java/org/apache/distributedlog/impl/federated/TestFederatedZKLogMetadataStore.java,Sijie Guo,1508364856,M,/hdd/dj/testSmellDetection/gitRepo/bookkeeper/src/main/java/org/apache/distributedlog/impl/federated/FederatedZKLogMetadataStore.java,/hdd/dj/testSmellDetection/gitRepo/bookkeeper/src/main/java/org/apache/distributedlog/impl/federated/FederatedZKLogMetadataStore.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,99bcf09f6d5bbcef2f4c5228cd70e023c2348b03,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestDisableEnsembleChange.java,51a58cbe3ad6ca7833f433aa9b845480ee690e57,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestDisableEnsembleChange.java,Ivan Kelly,1508537948,M,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,346e3a92be09bc294fbd4d964a7fc394795cee4f,src/test/java/org/apache/distributedlog/impl/metadata/TestZKLogStreamMetadataStore.java,6e7237c751949d101bba2dac93bd3a81200633c7,src/test/java/org/apache/distributedlog/impl/metadata/TestZKLogStreamMetadataStore.java,Jia Zhai,1508750042,M,/hdd/dj/testSmellDetection/gitRepo/bookkeeper/src/main/java/org/apache/distributedlog/impl/metadata/ZKLogStreamMetadataStore.java,/hdd/dj/testSmellDetection/gitRepo/bookkeeper/src/main/java/org/apache/distributedlog/impl/metadata/ZKLogStreamMetadataStore.java,3.0,1.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
6,0e13f700f662f20445094115a75f00e39f88565d,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestRegionAwareEnsemblePlacementPolicy.java,afcaade7c4c866a595b52ce71ee58b19352b2dbb,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestRegionAwareEnsemblePlacementPolicy.java,Enrico Olivelli,1508939980,M,/hdd/dj/testSmellDetection/gitRepo/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RegionAwareEnsemblePlacementPolicy.java,/hdd/dj/testSmellDetection/gitRepo/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RegionAwareEnsemblePlacementPolicy.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,767e4556b7f5cc523b127e7987cc442f707699d9,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieInitializationTest.java,e9b857092703719c9ea38a3a74107fe5114af94a,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieInitializationTest.java,Sijie Guo,1509130699,M,,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,767e4556b7f5cc523b127e7987cc442f707699d9,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/CookieTest.java,e9b857092703719c9ea38a3a74107fe5114af94a,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/CookieTest.java,Sijie Guo,1509130699,M,/hdd/dj/testSmellDetection/gitRepo/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java,/hdd/dj/testSmellDetection/gitRepo/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,767e4556b7f5cc523b127e7987cc442f707699d9,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/UpdateCookieCmdTest.java,e9b857092703719c9ea38a3a74107fe5114af94a,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/UpdateCookieCmdTest.java,Sijie Guo,1509130699,M,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
