App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
bookkeeper,0_c4a4318fcd308351b66c39599187c2e79fb0687a_WriteCacheTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20//files//0_c4a4318fcd308351b66c39599187c2e79fb0687a_WriteCacheTest.java,,2018-03-20_TO_2018-09-20//files//0_c4a4318fcd308351b66c39599187c2e79fb0687a_WriteCacheTest.java,,6,4,0,0,0,3,0,0,0,0,0,0,0,,,2,0,0,0,5,0
bookkeeper,0_6edbdd905dbb1a20a7e9282047c6a255d1e9f527_WriteCacheTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20/files/0_6edbdd905dbb1a20a7e9282047c6a255d1e9f527_WriteCacheTest.java,,2018-03-20_TO_2018-09-20/files/0_6edbdd905dbb1a20a7e9282047c6a255d1e9f527_WriteCacheTest.java,,7,5,0,0,0,3,0,0,0,0,1,0,0,,,2,0,0,0,6,0
bookkeeper,1_6edbdd905dbb1a20a7e9282047c6a255d1e9f527_EntryLogTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20//files//1_6edbdd905dbb1a20a7e9282047c6a255d1e9f527_EntryLogTest.java,,2018-03-20_TO_2018-09-20//files//1_6edbdd905dbb1a20a7e9282047c6a255d1e9f527_EntryLogTest.java,,8,3,0,0,0,9,0,9,0,0,0,0,0,,,1,0,0,9,2,0
bookkeeper,1_1496ebf8cd0753a92be384e019b7ed6ec03e1ad8_EntryLogTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20/files/1_1496ebf8cd0753a92be384e019b7ed6ec03e1ad8_EntryLogTest.java,,2018-03-20_TO_2018-09-20/files/1_1496ebf8cd0753a92be384e019b7ed6ec03e1ad8_EntryLogTest.java,,8,3,0,0,0,9,0,9,0,0,0,0,0,,,1,0,0,9,2,0
bookkeeper,2_6edbdd905dbb1a20a7e9282047c6a255d1e9f527_DbLedgerStorageWriteCacheTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20//files//2_6edbdd905dbb1a20a7e9282047c6a255d1e9f527_DbLedgerStorageWriteCacheTest.java,,2018-03-20_TO_2018-09-20//files//2_6edbdd905dbb1a20a7e9282047c6a255d1e9f527_DbLedgerStorageWriteCacheTest.java,,1,1,0,0,0,1,1,0,0,0,0,0,0,,,0,0,0,1,1,0
bookkeeper,2_1496ebf8cd0753a92be384e019b7ed6ec03e1ad8_DbLedgerStorageWriteCacheTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20/files/2_1496ebf8cd0753a92be384e019b7ed6ec03e1ad8_DbLedgerStorageWriteCacheTest.java,,2018-03-20_TO_2018-09-20/files/2_1496ebf8cd0753a92be384e019b7ed6ec03e1ad8_DbLedgerStorageWriteCacheTest.java,,1,1,0,0,0,1,1,0,0,0,0,0,0,,,0,0,0,1,1,0
bookkeeper,3_4fe823ba19b86abecaf575b009c55b5d8da51b90_BookieProtoEncodingTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20//files//3_4fe823ba19b86abecaf575b009c55b5d8da51b90_BookieProtoEncodingTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20//files//3_4fe823ba19b86abecaf575b009c55b5d8da51b90_BookieProtoEncoding.java,2018-03-20_TO_2018-09-20//files//3_4fe823ba19b86abecaf575b009c55b5d8da51b90_BookieProtoEncodingTest.java,2018-03-20_TO_2018-09-20//files//3_4fe823ba19b86abecaf575b009c55b5d8da51b90_BookieProtoEncoding.java,1,0,0,0,0,2,0,0,0,0,0,0,0,2,6,0,0,0,0,1,0
bookkeeper,3_a36f1ab88034d6b1bdfe75e725886c2e8cca1e85_BookieProtoEncodingTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20/files/3_a36f1ab88034d6b1bdfe75e725886c2e8cca1e85_BookieProtoEncodingTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20/files/3_a36f1ab88034d6b1bdfe75e725886c2e8cca1e85_BookieProtoEncoding.java,2018-03-20_TO_2018-09-20/files/3_a36f1ab88034d6b1bdfe75e725886c2e8cca1e85_BookieProtoEncodingTest.java,2018-03-20_TO_2018-09-20/files/3_a36f1ab88034d6b1bdfe75e725886c2e8cca1e85_BookieProtoEncoding.java,1,0,0,0,0,2,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0
bookkeeper,4_586ace096255caa44e7690831021995152d932ac_BookieProtoEncodingTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20//files//4_586ace096255caa44e7690831021995152d932ac_BookieProtoEncodingTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20//files//4_586ace096255caa44e7690831021995152d932ac_BookieProtoEncoding.java,2018-03-20_TO_2018-09-20//files//4_586ace096255caa44e7690831021995152d932ac_BookieProtoEncodingTest.java,2018-03-20_TO_2018-09-20//files//4_586ace096255caa44e7690831021995152d932ac_BookieProtoEncoding.java,1,0,0,0,0,2,0,0,0,0,0,0,0,2,6,0,0,0,0,1,0
bookkeeper,4_ae3f58d3336d75bfd1cbe088d4704be073883987_BookieProtoEncodingTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20/files/4_ae3f58d3336d75bfd1cbe088d4704be073883987_BookieProtoEncodingTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20/files/4_ae3f58d3336d75bfd1cbe088d4704be073883987_BookieProtoEncoding.java,2018-03-20_TO_2018-09-20/files/4_ae3f58d3336d75bfd1cbe088d4704be073883987_BookieProtoEncodingTest.java,2018-03-20_TO_2018-09-20/files/4_ae3f58d3336d75bfd1cbe088d4704be073883987_BookieProtoEncoding.java,1,0,0,0,0,2,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0
bookkeeper,5_52cefcfae654e317f341a58da0d0a07e902eefa3_BookieWriteLedgerTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20//files//5_52cefcfae654e317f341a58da0d0a07e902eefa3_BookieWriteLedgerTest.java,,2018-03-20_TO_2018-09-20//files//5_52cefcfae654e317f341a58da0d0a07e902eefa3_BookieWriteLedgerTest.java,,8,16,0,0,0,18,14,0,0,0,0,0,1,,,1,4,0,0,0,0
bookkeeper,5_c1947c7b7d7c0a6736b2a35511b5f70072c12972_BookieWriteLedgerTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20/files/5_c1947c7b7d7c0a6736b2a35511b5f70072c12972_BookieWriteLedgerTest.java,,2018-03-20_TO_2018-09-20/files/5_c1947c7b7d7c0a6736b2a35511b5f70072c12972_BookieWriteLedgerTest.java,,8,16,0,0,0,18,14,0,0,0,0,0,1,,,1,4,0,0,0,0
bookkeeper,6_52cefcfae654e317f341a58da0d0a07e902eefa3_TestMaxEnsembleChangeNum.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20//files//6_52cefcfae654e317f341a58da0d0a07e902eefa3_TestMaxEnsembleChangeNum.java,,2018-03-20_TO_2018-09-20//files//6_52cefcfae654e317f341a58da0d0a07e902eefa3_TestMaxEnsembleChangeNum.java,,1,1,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,1,0
bookkeeper,6_c1947c7b7d7c0a6736b2a35511b5f70072c12972_TestMaxEnsembleChangeNum.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20/files/6_c1947c7b7d7c0a6736b2a35511b5f70072c12972_TestMaxEnsembleChangeNum.java,,2018-03-20_TO_2018-09-20/files/6_c1947c7b7d7c0a6736b2a35511b5f70072c12972_TestMaxEnsembleChangeNum.java,,1,1,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,1,0
bookkeeper,7_52cefcfae654e317f341a58da0d0a07e902eefa3_BookKeeperApiTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20//files//7_52cefcfae654e317f341a58da0d0a07e902eefa3_BookKeeperApiTest.java,,2018-03-20_TO_2018-09-20//files//7_52cefcfae654e317f341a58da0d0a07e902eefa3_BookKeeperApiTest.java,,9,2,0,0,0,14,0,0,0,0,1,0,0,,,1,0,1,0,4,0
bookkeeper,7_c1947c7b7d7c0a6736b2a35511b5f70072c12972_BookKeeperApiTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20/files/7_c1947c7b7d7c0a6736b2a35511b5f70072c12972_BookKeeperApiTest.java,,2018-03-20_TO_2018-09-20/files/7_c1947c7b7d7c0a6736b2a35511b5f70072c12972_BookKeeperApiTest.java,,9,2,0,0,0,14,0,0,0,0,1,0,0,,,1,0,1,0,4,0
bookkeeper,8_52cefcfae654e317f341a58da0d0a07e902eefa3_WriteAdvHandleTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20//files//8_52cefcfae654e317f341a58da0d0a07e902eefa3_WriteAdvHandleTest.java,,2018-03-20_TO_2018-09-20//files//8_52cefcfae654e317f341a58da0d0a07e902eefa3_WriteAdvHandleTest.java,,0,0,0,0,0,3,0,0,0,0,0,0,0,,,0,0,0,0,0,0
bookkeeper,8_c1947c7b7d7c0a6736b2a35511b5f70072c12972_WriteAdvHandleTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20/files/8_c1947c7b7d7c0a6736b2a35511b5f70072c12972_WriteAdvHandleTest.java,,2018-03-20_TO_2018-09-20/files/8_c1947c7b7d7c0a6736b2a35511b5f70072c12972_WriteAdvHandleTest.java,,0,0,0,0,0,3,0,0,0,0,0,0,0,,,0,0,0,0,0,0
bookkeeper,9_52cefcfae654e317f341a58da0d0a07e902eefa3_WriteHandleTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20//files//9_52cefcfae654e317f341a58da0d0a07e902eefa3_WriteHandleTest.java,,2018-03-20_TO_2018-09-20//files//9_52cefcfae654e317f341a58da0d0a07e902eefa3_WriteHandleTest.java,,0,0,0,0,0,3,0,0,0,0,0,0,0,,,0,0,0,0,0,0
bookkeeper,9_c1947c7b7d7c0a6736b2a35511b5f70072c12972_WriteHandleTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20/files/9_c1947c7b7d7c0a6736b2a35511b5f70072c12972_WriteHandleTest.java,,2018-03-20_TO_2018-09-20/files/9_c1947c7b7d7c0a6736b2a35511b5f70072c12972_WriteHandleTest.java,,0,0,0,0,0,3,0,0,0,0,0,0,0,,,0,0,0,0,0,0
bookkeeper,10_52cefcfae654e317f341a58da0d0a07e902eefa3_TestUtils.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20//files//10_52cefcfae654e317f341a58da0d0a07e902eefa3_TestUtils.java,,2018-03-20_TO_2018-09-20//files//10_52cefcfae654e317f341a58da0d0a07e902eefa3_TestUtils.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
bookkeeper,10_c1947c7b7d7c0a6736b2a35511b5f70072c12972_TestUtils.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20/files/10_c1947c7b7d7c0a6736b2a35511b5f70072c12972_TestUtils.java,,2018-03-20_TO_2018-09-20/files/10_c1947c7b7d7c0a6736b2a35511b5f70072c12972_TestUtils.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
bookkeeper,11_52cefcfae654e317f341a58da0d0a07e902eefa3_SimpleTestCommandTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20//files//11_52cefcfae654e317f341a58da0d0a07e902eefa3_SimpleTestCommandTest.java,,2018-03-20_TO_2018-09-20//files//11_52cefcfae654e317f341a58da0d0a07e902eefa3_SimpleTestCommandTest.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,2,0,0,0,0
bookkeeper,11_c1947c7b7d7c0a6736b2a35511b5f70072c12972_SimpleTestCommandTest.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20/files/11_c1947c7b7d7c0a6736b2a35511b5f70072c12972_SimpleTestCommandTest.java,,2018-03-20_TO_2018-09-20/files/11_c1947c7b7d7c0a6736b2a35511b5f70072c12972_SimpleTestCommandTest.java,,0,0,0,0,0,3,0,0,0,0,0,0,0,,,0,2,0,0,0,0
bookkeeper,12_23d1e61c5a7fdb41ffc8ada3618cd0f9cae21103_TestZKLogStreamMetadataStore.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20//files//12_23d1e61c5a7fdb41ffc8ada3618cd0f9cae21103_TestZKLogStreamMetadataStore.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20//files//12_23d1e61c5a7fdb41ffc8ada3618cd0f9cae21103_ZKLogStreamMetadataStore.java,2018-03-20_TO_2018-09-20//files//12_23d1e61c5a7fdb41ffc8ada3618cd0f9cae21103_TestZKLogStreamMetadataStore.java,2018-03-20_TO_2018-09-20//files//12_23d1e61c5a7fdb41ffc8ada3618cd0f9cae21103_ZKLogStreamMetadataStore.java,5,3,0,0,0,22,22,0,0,0,0,0,0,0,3,0,0,1,0,3,0
bookkeeper,12_c36cf2b8263ccea9e1c21ac36ff0d9aebd3a88a3_TestZKLogStreamMetadataStore.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20/files/12_c36cf2b8263ccea9e1c21ac36ff0d9aebd3a88a3_TestZKLogStreamMetadataStore.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20/files/12_c36cf2b8263ccea9e1c21ac36ff0d9aebd3a88a3_ZKLogStreamMetadataStore.java,2018-03-20_TO_2018-09-20/files/12_c36cf2b8263ccea9e1c21ac36ff0d9aebd3a88a3_TestZKLogStreamMetadataStore.java,2018-03-20_TO_2018-09-20/files/12_c36cf2b8263ccea9e1c21ac36ff0d9aebd3a88a3_ZKLogStreamMetadataStore.java,5,3,0,0,0,22,22,0,0,0,0,0,0,0,3,0,0,1,0,3,0
bookkeeper,13_c36cf2b8263ccea9e1c21ac36ff0d9aebd3a88a3_TestZKSessionLock.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20//files//13_c36cf2b8263ccea9e1c21ac36ff0d9aebd3a88a3_TestZKSessionLock.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20//files//13_c36cf2b8263ccea9e1c21ac36ff0d9aebd3a88a3_ZKSessionLock.java,2018-03-20_TO_2018-09-20//files//13_c36cf2b8263ccea9e1c21ac36ff0d9aebd3a88a3_TestZKSessionLock.java,2018-03-20_TO_2018-09-20//files//13_c36cf2b8263ccea9e1c21ac36ff0d9aebd3a88a3_ZKSessionLock.java,11,0,0,0,0,31,29,0,0,0,0,0,0,9,37,4,0,7,0,6,0
bookkeeper,13_db713f32c24cc9345d8b813aeef9d079b254d16a_TestZKSessionLock.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20/files/13_db713f32c24cc9345d8b813aeef9d079b254d16a_TestZKSessionLock.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20/files/13_db713f32c24cc9345d8b813aeef9d079b254d16a_ZKSessionLock.java,2018-03-20_TO_2018-09-20/files/13_db713f32c24cc9345d8b813aeef9d079b254d16a_TestZKSessionLock.java,2018-03-20_TO_2018-09-20/files/13_db713f32c24cc9345d8b813aeef9d079b254d16a_ZKSessionLock.java,11,0,0,0,0,31,29,0,0,0,0,0,0,9,37,4,0,7,0,6,0
bookkeeper,14_678b88ca8e7fc313494b34167785b37102e809d0_TestGetBookieInfoTimeout.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20//files//14_678b88ca8e7fc313494b34167785b37102e809d0_TestGetBookieInfoTimeout.java,,2018-03-20_TO_2018-09-20//files//14_678b88ca8e7fc313494b34167785b37102e809d0_TestGetBookieInfoTimeout.java,,0,1,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0
bookkeeper,14_46171e67e526702487641438144f28b7eb1aa07b_TestGetBookieInfoTimeout.java,/hdd/dj/testSmellDetection/data/bookkeeper/2018-03-20_TO_2018-09-20/files/14_46171e67e526702487641438144f28b7eb1aa07b_TestGetBookieInfoTimeout.java,,2018-03-20_TO_2018-09-20/files/14_46171e67e526702487641438144f28b7eb1aa07b_TestGetBookieInfoTimeout.java,,0,1,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0
