parent_commit,parent_test_file,current_commit,current_test_file,committer,committed_date,change_type,parent_prod_file,current_prod_file
,,d7cb730ddc9d082f2c5006f68ca5aaa5ce355020,camel-core/src/test/java/org/apache/camel/processor/async/AsyncEndpointRoutingSlipBeanNonBlockingTest.java,Claus Ibsen,1469360896,A,,
d7cb730ddc9d082f2c5006f68ca5aaa5ce355020,camel-core/src/test/java/org/apache/camel/processor/async/AsyncEndpointRoutingSlipBeanNonBlockingTest.java,0c905223bbf3035f975cd4e2d0fcda5e20490b61,camel-core/src/test/java/org/apache/camel/processor/async/AsyncEndpointRoutingSlipBeanNonBlockingTest.java,Claus Ibsen,1469361075,M,,
9dce5091bc7533e294d09dfd08554f3e8f92bd2e,camel-core/src/test/java/org/apache/camel/processor/async/AsyncEndpointRoutingSlipBeanNonBlockingTest.java,2d0de2bbf27a71b8d7dad6284e092ba456ec5794,camel-core/src/test/java/org/apache/camel/processor/async/AsyncEndpointRoutingSlipBeanNonBlockingTest.java,Claus Ibsen,1469361211,M,,
,,285a9e4427852091f2f82230443e14d4849db9ad,camel-core/src/test/java/org/apache/camel/issues/AdviceWithWeaveByToStringCBRTest.java,Claus Ibsen,1469447858,A,,
,,12ddce8e8be5e5321294c78d30a1663a0973d72d,camel-core/src/test/java/org/apache/camel/issues/AdviceWithWeaveByToStringCBRTest.java,Claus Ibsen,1469447887,A,,
fd1c7beeb18c1876228d39e32d089af0200c8e13,components/camel-core-osgi/src/test/java/org/apache/camel/core/osgi/ServiceRegistryTest.java,12224bdf79cad6fa235e1a50a29a1457a8f4d718,components/camel-core-osgi/src/test/java/org/apache/camel/core/osgi/ServiceRegistryTest.java,Claus Ibsen,1469523063,M,,
,,6355428072a2887692ce8089dc93a9abecb08e42,components/camel-aws/src/test/java/org/apache/camel/component/aws/s3/S3ComponentListBucketsTest.java,Andrea Cosentino,1469527310,A,,
,,cd0887c665c227d1ca8e92d05d98059eadd0b117,components/camel-aws/src/test/java/org/apache/camel/component/aws/s3/S3ComponentListBucketsSpringTest.java,Andrea Cosentino,1469527310,A,,
6355428072a2887692ce8089dc93a9abecb08e42,components/camel-aws/src/test/java/org/apache/camel/component/aws/s3/S3ComponentListBucketsTest.java,cd0887c665c227d1ca8e92d05d98059eadd0b117,components/camel-aws/src/test/java/org/apache/camel/component/aws/s3/S3ComponentListBucketsTest.java,Andrea Cosentino,1469527310,M,,
cd0887c665c227d1ca8e92d05d98059eadd0b117,components/camel-aws/src/test/java/org/apache/camel/component/aws/s3/S3ComponentListBucketsSpringTest.java,59c3420d88aa4962141752ba8464b19f643a8454,components/camel-aws/src/test/java/org/apache/camel/component/aws/s3/S3ComponentListBucketsSpringTest.java,Andrea Cosentino,1469527311,M,,
,,ef0b438d4a3ab1a5e6bd530479aa32f71fef857d,camel-core/src/test/java/org/apache/camel/component/bean/BeanParameterInvalidSyntaxTest.java,Claus Ibsen,1469531003,A,,
11b0e39fd05107d20f8726eb268751ce8ce46a93,components/camel-rabbitmq/src/test/java/org/apache/camel/component/rabbitmq/RabbitMQEndpointTest.java,ade427001b71ef6c2ef6974ec54c1ebfdd07ce27,components/camel-rabbitmq/src/test/java/org/apache/camel/component/rabbitmq/RabbitMQEndpointTest.java,Andrea Cosentino,1469531980,M,/hdd/dj/testSmellDetection/gitRepo/camel/components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/RabbitMQEndpoint.java,/hdd/dj/testSmellDetection/gitRepo/camel/components/camel-rabbitmq/src/main/java/org/apache/camel/component/rabbitmq/RabbitMQEndpoint.java
d57797c33adc4119268adcc2efaaa93d3927d522,components/camel-salesforce/camel-salesforce-component/src/test/java/org/apache/camel/component/salesforce/api/MultiSelectPicklistJsonTest.java,abb814d7341d7d02266b8aaf6c650ea913d669ae,components/camel-salesforce/camel-salesforce-component/src/test/java/org/apache/camel/component/salesforce/api/MultiSelectPicklistJsonTest.java,Dhiraj Bokde,1469576360,M,,
