,parent_commit,parent_test_file,current_commit,current_test_file,committer,committed_date,change_type,parent_prod_file,current_prod_file,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
0,db157f495f02c45d0a02017a367ab9e74096262f,components/camel-http-common/src/test/java/org/apache/camel/http/common/cookie/CookieHandlerTest.java,383bad076fbbf0db4fe8afac55361b8b5d906caf,components/camel-http-common/src/test/java/org/apache/camel/http/common/cookie/CookieHandlerTest.java,onders86,1500705944,M,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,a59e86b29269c3dc5e92f1e6b985601b73d21926,tooling/apt/src/test/java/org/apache/camel/tools/apt/StringsTest.java,617cfbb04f91dfc4350c94fb8f9b7b8b6589bc26,tooling/apt/src/test/java/org/apache/camel/tools/apt/StringsTest.java,Claus Ibsen,1500732773,M,/hdd/dj/testSmellDetection/gitRepo/camel/tooling/apt/src/main/java/org/apache/camel/tools/apt/helper/Strings.java,/hdd/dj/testSmellDetection/gitRepo/camel/tooling/apt/src/main/java/org/apache/camel/tools/apt/helper/Strings.java,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,073f5295876714b613f66fd7b87f51b8947f6f94,tooling/apt/src/test/java/org/apache/camel/tools/apt/StringsTest.java,70cb089f76a645c3da0ac61243d59a8cbb94290b,tooling/apt/src/test/java/org/apache/camel/tools/apt/StringsTest.java,Claus Ibsen,1500733545,M,/hdd/dj/testSmellDetection/gitRepo/camel/tooling/apt/src/main/java/org/apache/camel/tools/apt/helper/Strings.java,/hdd/dj/testSmellDetection/gitRepo/camel/tooling/apt/src/main/java/org/apache/camel/tools/apt/helper/Strings.java,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,c731f287b7a49e50cbe57bbe20f67b2234b1629c,components/camel-mongodb/src/test/java/org/apache/camel/component/mongodb/MongoDbExceptionHandlingTest.java,dadbbf37759747d73bc19dc67d061d4103e0c1ac,components/camel-mongodb/src/test/java/org/apache/camel/component/mongodb/MongoDbExceptionHandlingTest.java,Claus Ibsen,1500802206,M,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,dadbbf37759747d73bc19dc67d061d4103e0c1ac,components/camel-mongodb3/src/test/java/org/apache/camel/component/mongodb3/MongoDbExceptionHandlingTest.java,54073597bdee87a035a569c74c4e9fb465a866f2,components/camel-mongodb3/src/test/java/org/apache/camel/component/mongodb3/MongoDbExceptionHandlingTest.java,Claus Ibsen,1500802467,M,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,54073597bdee87a035a569c74c4e9fb465a866f2,components/camel-mongodb3/src/test/java/org/apache/camel/component/mongodb3/MongoDbConversionsTest.java,00fda9de987d4f30da18e441aac0fa0499ec06ec,components/camel-mongodb3/src/test/java/org/apache/camel/component/mongodb3/MongoDbConversionsTest.java,Claus Ibsen,1500809511,M,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,f4f2a1c8d6dbae4a1276db5795164c2d30073e1c,components/camel-mongodb/src/test/java/org/apache/camel/component/mongodb/MongoDbExceptionHandlingTest.java,f85efbd1e5fdf80bd3eef0fdc0331301eba435e0,components/camel-mongodb/src/test/java/org/apache/camel/component/mongodb/MongoDbExceptionHandlingTest.java,Claus Ibsen,1500809923,M,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,f85efbd1e5fdf80bd3eef0fdc0331301eba435e0,components/camel-mongodb3/src/test/java/org/apache/camel/component/mongodb3/MongoDbExceptionHandlingTest.java,0289fbac7a196a40508a9951f5ca5604032b6649,components/camel-mongodb3/src/test/java/org/apache/camel/component/mongodb3/MongoDbExceptionHandlingTest.java,Claus Ibsen,1500809923,M,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8,0289fbac7a196a40508a9951f5ca5604032b6649,components/camel-mongodb3/src/test/java/org/apache/camel/component/mongodb3/MongoDbConversionsTest.java,f8d4c88f12385422c1c63a70c30bb8f855f19c17,components/camel-mongodb3/src/test/java/org/apache/camel/component/mongodb3/MongoDbConversionsTest.java,Claus Ibsen,1500809923,M,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,,,3f69b57a5efbdd631d0cf140fb21cc5fea72d9f6,camel-core/src/test/java/org/apache/camel/impl/CamelPostProcessorHelperConsumePredicateTest.java,Claus Ibsen,1500813961,A,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
