App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
camel,0_25ac6f43d0b14571862ddeb4db8b6813f817b2a9_ReportIncidentRoutesClientTest.java,/hdd/dj/testSmellDetection/data/camel/2017-09-24_TO_2018-03-24//files//0_25ac6f43d0b14571862ddeb4db8b6813f817b2a9_ReportIncidentRoutesClientTest.java,,2017-09-24_TO_2018-03-24//files//0_25ac6f43d0b14571862ddeb4db8b6813f817b2a9_ReportIncidentRoutesClientTest.java,,1,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0
camel,1_5229622971680ff20a45f81420545008027198da_DynamicRouterWithInterceptorTest.java,/hdd/dj/testSmellDetection/data/camel/2017-09-24_TO_2018-03-24//files//1_5229622971680ff20a45f81420545008027198da_DynamicRouterWithInterceptorTest.java,,2017-09-24_TO_2018-03-24//files//1_5229622971680ff20a45f81420545008027198da_DynamicRouterWithInterceptorTest.java,,0,0,0,0,0,2,0,0,0,0,0,0,0,,,0,0,0,0,2,0
camel,1_32da0cbd81b30b2223fc68bf398b4896480356c6_DynamicRouterWithInterceptorTest.java,/hdd/dj/testSmellDetection/data/camel/2017-09-24_TO_2018-03-24/files/1_32da0cbd81b30b2223fc68bf398b4896480356c6_DynamicRouterWithInterceptorTest.java,,2017-09-24_TO_2018-03-24/files/1_32da0cbd81b30b2223fc68bf398b4896480356c6_DynamicRouterWithInterceptorTest.java,,0,0,0,0,0,2,0,0,0,0,0,0,0,,,0,0,0,0,2,0
camel,2_5229622971680ff20a45f81420545008027198da_RecipientListWithInterceptorTest.java,/hdd/dj/testSmellDetection/data/camel/2017-09-24_TO_2018-03-24//files//2_5229622971680ff20a45f81420545008027198da_RecipientListWithInterceptorTest.java,,2017-09-24_TO_2018-03-24//files//2_5229622971680ff20a45f81420545008027198da_RecipientListWithInterceptorTest.java,,0,0,0,0,0,2,0,0,0,0,0,0,0,,,0,0,0,0,2,0
camel,2_32da0cbd81b30b2223fc68bf398b4896480356c6_RecipientListWithInterceptorTest.java,/hdd/dj/testSmellDetection/data/camel/2017-09-24_TO_2018-03-24/files/2_32da0cbd81b30b2223fc68bf398b4896480356c6_RecipientListWithInterceptorTest.java,,2017-09-24_TO_2018-03-24/files/2_32da0cbd81b30b2223fc68bf398b4896480356c6_RecipientListWithInterceptorTest.java,,0,0,0,0,0,2,0,0,0,0,0,0,0,,,0,0,0,0,2,0
camel,3_5229622971680ff20a45f81420545008027198da_SplitWithInterceptorTest.java,/hdd/dj/testSmellDetection/data/camel/2017-09-24_TO_2018-03-24//files//3_5229622971680ff20a45f81420545008027198da_SplitWithInterceptorTest.java,,2017-09-24_TO_2018-03-24//files//3_5229622971680ff20a45f81420545008027198da_SplitWithInterceptorTest.java,,0,0,0,0,0,2,0,0,0,0,0,0,0,,,0,0,0,0,2,0
camel,3_32da0cbd81b30b2223fc68bf398b4896480356c6_SplitWithInterceptorTest.java,/hdd/dj/testSmellDetection/data/camel/2017-09-24_TO_2018-03-24/files/3_32da0cbd81b30b2223fc68bf398b4896480356c6_SplitWithInterceptorTest.java,,2017-09-24_TO_2018-03-24/files/3_32da0cbd81b30b2223fc68bf398b4896480356c6_SplitWithInterceptorTest.java,,0,0,0,0,0,2,0,0,0,0,0,0,0,,,0,0,0,0,2,0
camel,4_5229622971680ff20a45f81420545008027198da_RestRestletBindingModeJsonWithContractTest.java,/hdd/dj/testSmellDetection/data/camel/2017-09-24_TO_2018-03-24//files//4_5229622971680ff20a45f81420545008027198da_RestRestletBindingModeJsonWithContractTest.java,,2017-09-24_TO_2018-03-24//files//4_5229622971680ff20a45f81420545008027198da_RestRestletBindingModeJsonWithContractTest.java,,1,1,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,1,0
camel,4_32da0cbd81b30b2223fc68bf398b4896480356c6_RestRestletBindingModeJsonWithContractTest.java,/hdd/dj/testSmellDetection/data/camel/2017-09-24_TO_2018-03-24/files/4_32da0cbd81b30b2223fc68bf398b4896480356c6_RestRestletBindingModeJsonWithContractTest.java,,2017-09-24_TO_2018-03-24/files/4_32da0cbd81b30b2223fc68bf398b4896480356c6_RestRestletBindingModeJsonWithContractTest.java,,1,1,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,1,0
camel,5_5229622971680ff20a45f81420545008027198da_RestRestletBindingModeOffWithContractTest.java,/hdd/dj/testSmellDetection/data/camel/2017-09-24_TO_2018-03-24//files//5_5229622971680ff20a45f81420545008027198da_RestRestletBindingModeOffWithContractTest.java,,2017-09-24_TO_2018-03-24//files//5_5229622971680ff20a45f81420545008027198da_RestRestletBindingModeOffWithContractTest.java,,1,1,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,1,0
