parent_commit,parent_test_file,current_commit,current_test_file,committer,committed_date,change_type,parent_prod_file,current_prod_file
bd6654733dded3513c2c7acf96df2c364b0c043e,test/unit/org/apache/cassandra/cql3/validation/entities/SecondaryIndexTest.java,527d1897c0973491bb0db098ce5ea1e0bd78898f,test/unit/org/apache/cassandra/cql3/validation/entities/SecondaryIndexTest.java,Benjamin Lerer,1471353479,M,,
bd6654733dded3513c2c7acf96df2c364b0c043e,test/unit/org/apache/cassandra/cql3/validation/operations/DeleteTest.java,527d1897c0973491bb0db098ce5ea1e0bd78898f,test/unit/org/apache/cassandra/cql3/validation/operations/DeleteTest.java,Benjamin Lerer,1471353479,M,,
bd6654733dded3513c2c7acf96df2c364b0c043e,test/unit/org/apache/cassandra/cql3/validation/operations/SelectTest.java,527d1897c0973491bb0db098ce5ea1e0bd78898f,test/unit/org/apache/cassandra/cql3/validation/operations/SelectTest.java,Benjamin Lerer,1471353479,M,,
bd6654733dded3513c2c7acf96df2c364b0c043e,test/unit/org/apache/cassandra/db/marshal/ReversedTypeTest.java,527d1897c0973491bb0db098ce5ea1e0bd78898f,test/unit/org/apache/cassandra/db/marshal/ReversedTypeTest.java,Benjamin Lerer,1471353479,M,,
d1bd71c4ea5e02d53bfcd99d5fb390d3ee18d17c,test/unit/org/apache/cassandra/cql3/validation/operations/InsertTest.java,e83f9e69e2c4abd295645eaf0289772a15eb4a85,test/unit/org/apache/cassandra/cql3/validation/operations/InsertTest.java,Benjamin Lerer,1471358173,M,,
d1bd71c4ea5e02d53bfcd99d5fb390d3ee18d17c,test/unit/org/apache/cassandra/cql3/validation/operations/UpdateTest.java,e83f9e69e2c4abd295645eaf0289772a15eb4a85,test/unit/org/apache/cassandra/cql3/validation/operations/UpdateTest.java,Benjamin Lerer,1471358173,M,,
e83f9e69e2c4abd295645eaf0289772a15eb4a85,test/unit/org/apache/cassandra/cql3/PstmtPersistenceTest.java,aa83c942a51323d4a38bc023979ba70801c875b3,test/unit/org/apache/cassandra/cql3/PstmtPersistenceTest.java,Tyler Hobbs,1471376111,M,,
e83f9e69e2c4abd295645eaf0289772a15eb4a85,test/unit/org/apache/cassandra/service/DataResolverTest.java,aa83c942a51323d4a38bc023979ba70801c875b3,test/unit/org/apache/cassandra/service/DataResolverTest.java,Tyler Hobbs,1471376111,M,,
e83f9e69e2c4abd295645eaf0289772a15eb4a85,test/unit/org/apache/cassandra/transport/MessagePayloadTest.java,aa83c942a51323d4a38bc023979ba70801c875b3,test/unit/org/apache/cassandra/transport/MessagePayloadTest.java,Tyler Hobbs,1471376111,M,,
44e30e33c98df7a861bd8ba134cae2571bd48c36,test/unit/org/apache/cassandra/db/monitoring/MonitoringTaskTest.java,6966fcda9b5ce657760dfe103e5812862306ff7a,test/unit/org/apache/cassandra/db/monitoring/MonitoringTaskTest.java,Stefania Alborghetti,1471402034,M,,
d4d71cd331d9119f718b1ef6e4ed2bb3a1258ac1,test/unit/org/apache/cassandra/index/sasi/SASIIndexTest.java,55a45b58d678eb919fa6b5a4c224fb43791e0234,test/unit/org/apache/cassandra/index/sasi/SASIIndexTest.java,Pavel Yaskevich,1471470017,M,,
55a45b58d678eb919fa6b5a4c224fb43791e0234,test/unit/org/apache/cassandra/index/sasi/SASIIndexTest.java,5c6cdc60a7c05bc82f5eae848eeb9ab99ff6a53f,test/unit/org/apache/cassandra/index/sasi/SASIIndexTest.java,Pavel Yaskevich,1471470302,M,,
858004791977f0db56da201f1ab84c4efe75d974,test/long/org/apache/cassandra/db/commitlog/CommitLogStressTest.java,9797511c56df4e9c7db964a6b83e67642df96c2d,test/long/org/apache/cassandra/db/commitlog/CommitLogStressTest.java,Robert Stupp,1471484643,M,,
858004791977f0db56da201f1ab84c4efe75d974,test/long/org/apache/cassandra/locator/DynamicEndpointSnitchLongTest.java,9797511c56df4e9c7db964a6b83e67642df96c2d,test/long/org/apache/cassandra/locator/DynamicEndpointSnitchLongTest.java,Robert Stupp,1471484643,M,,
858004791977f0db56da201f1ab84c4efe75d974,test/long/org/apache/cassandra/streaming/LongStreamingTest.java,9797511c56df4e9c7db964a6b83e67642df96c2d,test/long/org/apache/cassandra/streaming/LongStreamingTest.java,Robert Stupp,1471484643,M,,
858004791977f0db56da201f1ab84c4efe75d974,test/unit/org/apache/cassandra/auth/jmx/AuthorizationProxyTest.java,9797511c56df4e9c7db964a6b83e67642df96c2d,test/unit/org/apache/cassandra/auth/jmx/AuthorizationProxyTest.java,Robert Stupp,1471484643,M,,
858004791977f0db56da201f1ab84c4efe75d974,test/unit/org/apache/cassandra/batchlog/BatchlogManagerTest.java,9797511c56df4e9c7db964a6b83e67642df96c2d,test/unit/org/apache/cassandra/batchlog/BatchlogManagerTest.java,Robert Stupp,1471484643,M,,
858004791977f0db56da201f1ab84c4efe75d974,test/unit/org/apache/cassandra/concurrent/DebuggableThreadPoolExecutorTest.java,9797511c56df4e9c7db964a6b83e67642df96c2d,test/unit/org/apache/cassandra/concurrent/DebuggableThreadPoolExecutorTest.java,Robert Stupp,1471484643,M,,
858004791977f0db56da201f1ab84c4efe75d974,test/unit/org/apache/cassandra/config/CFMetaDataTest.java,9797511c56df4e9c7db964a6b83e67642df96c2d,test/unit/org/apache/cassandra/config/CFMetaDataTest.java,Robert Stupp,1471484643,M,,
858004791977f0db56da201f1ab84c4efe75d974,test/unit/org/apache/cassandra/config/ColumnDefinitionTest.java,9797511c56df4e9c7db964a6b83e67642df96c2d,test/unit/org/apache/cassandra/config/ColumnDefinitionTest.java,Robert Stupp,1471484643,M,,
,,9797511c56df4e9c7db964a6b83e67642df96c2d,test/unit/org/apache/cassandra/config/DatabaseDescriptorRefTest.java,Robert Stupp,1471484643,A,,
858004791977f0db56da201f1ab84c4efe75d974,test/unit/org/apache/cassandra/config/DatabaseDescriptorTest.java,9797511c56df4e9c7db964a6b83e67642df96c2d,test/unit/org/apache/cassandra/config/DatabaseDescriptorTest.java,Robert Stupp,1471484643,M,,
858004791977f0db56da201f1ab84c4efe75d974,test/unit/org/apache/cassandra/cql3/ColumnConditionTest.java,9797511c56df4e9c7db964a6b83e67642df96c2d,test/unit/org/apache/cassandra/cql3/ColumnConditionTest.java,Robert Stupp,1471484643,M,,
858004791977f0db56da201f1ab84c4efe75d974,test/unit/org/apache/cassandra/cql3/PstmtPersistenceTest.java,9797511c56df4e9c7db964a6b83e67642df96c2d,test/unit/org/apache/cassandra/cql3/PstmtPersistenceTest.java,Robert Stupp,1471484643,M,,
858004791977f0db56da201f1ab84c4efe75d974,test/unit/org/apache/cassandra/cql3/restrictions/ClusteringColumnRestrictionsTest.java,9797511c56df4e9c7db964a6b83e67642df96c2d,test/unit/org/apache/cassandra/cql3/restrictions/ClusteringColumnRestrictionsTest.java,Robert Stupp,1471484643,M,,
858004791977f0db56da201f1ab84c4efe75d974,test/unit/org/apache/cassandra/cql3/validation/miscellaneous/TombstonesTest.java,9797511c56df4e9c7db964a6b83e67642df96c2d,test/unit/org/apache/cassandra/cql3/validation/miscellaneous/TombstonesTest.java,Robert Stupp,1471484643,M,,
858004791977f0db56da201f1ab84c4efe75d974,test/unit/org/apache/cassandra/cql3/validation/operations/AggregationTest.java,9797511c56df4e9c7db964a6b83e67642df96c2d,test/unit/org/apache/cassandra/cql3/validation/operations/AggregationTest.java,Robert Stupp,1471484643,M,,
858004791977f0db56da201f1ab84c4efe75d974,test/unit/org/apache/cassandra/cql3/validation/operations/AlterTest.java,9797511c56df4e9c7db964a6b83e67642df96c2d,test/unit/org/apache/cassandra/cql3/validation/operations/AlterTest.java,Robert Stupp,1471484643,M,,
858004791977f0db56da201f1ab84c4efe75d974,test/unit/org/apache/cassandra/cql3/validation/operations/CreateTest.java,9797511c56df4e9c7db964a6b83e67642df96c2d,test/unit/org/apache/cassandra/cql3/validation/operations/CreateTest.java,Robert Stupp,1471484643,M,,
858004791977f0db56da201f1ab84c4efe75d974,test/unit/org/apache/cassandra/cql3/validation/operations/InsertUpdateIfConditionTest.java,9797511c56df4e9c7db964a6b83e67642df96c2d,test/unit/org/apache/cassandra/cql3/validation/operations/InsertUpdateIfConditionTest.java,Robert Stupp,1471484643,M,,
