App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
cassandra,0_ba87ab4e954ad2e537f6690953bd7ebaa069f5cd_PendingRepairManagerTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10//files//0_ba87ab4e954ad2e537f6690953bd7ebaa069f5cd_PendingRepairManagerTest.java,,2017-08-10_TO_2018-02-10//files//0_ba87ab4e954ad2e537f6690953bd7ebaa069f5cd_PendingRepairManagerTest.java,,7,0,0,0,0,0,0,0,0,0,0,0,0,,,2,0,0,0,6,0
cassandra,0_9c3354e3211c6a3f3982e87477e156c29cd9b7ea_PendingRepairManagerTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10/files/0_9c3354e3211c6a3f3982e87477e156c29cd9b7ea_PendingRepairManagerTest.java,,2017-08-10_TO_2018-02-10/files/0_9c3354e3211c6a3f3982e87477e156c29cd9b7ea_PendingRepairManagerTest.java,,7,0,0,0,0,2,0,0,0,0,0,0,0,,,2,0,0,0,6,0
cassandra,1_1a70dede3a33a2e8bf107f44139580b4ace1c9ff_CounterCellTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10//files//1_1a70dede3a33a2e8bf107f44139580b4ace1c9ff_CounterCellTest.java,,2017-08-10_TO_2018-02-10//files//1_1a70dede3a33a2e8bf107f44139580b4ace1c9ff_CounterCellTest.java,,3,0,0,0,0,1,0,0,0,0,0,0,0,,,2,1,0,0,2,0
cassandra,1_eb6f03c8928e913cb6f9eaa7c9ea9f4501039112_CounterCellTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10/files/1_eb6f03c8928e913cb6f9eaa7c9ea9f4501039112_CounterCellTest.java,,2017-08-10_TO_2018-02-10/files/1_eb6f03c8928e913cb6f9eaa7c9ea9f4501039112_CounterCellTest.java,,3,0,0,0,0,1,0,0,0,0,0,0,0,,,2,1,0,0,2,0
cassandra,2_f4da90aca0e79664ea06212283f6cd5f9288d441_AntiCompactionTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10//files//2_f4da90aca0e79664ea06212283f6cd5f9288d441_AntiCompactionTest.java,,2017-08-10_TO_2018-02-10//files//2_f4da90aca0e79664ea06212283f6cd5f9288d441_AntiCompactionTest.java,,1,1,0,0,0,7,0,0,0,0,0,0,0,,,0,6,1,0,1,0
cassandra,2_e9cc805db1133982c022657f8cab86cd24b3686f_AntiCompactionTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10/files/2_e9cc805db1133982c022657f8cab86cd24b3686f_AntiCompactionTest.java,,2017-08-10_TO_2018-02-10/files/2_e9cc805db1133982c022657f8cab86cd24b3686f_AntiCompactionTest.java,,2,2,0,0,0,8,0,0,0,0,0,0,0,,,0,6,1,0,2,0
cassandra,3_e9cc805db1133982c022657f8cab86cd24b3686f_CompactionTaskTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10/files/3_e9cc805db1133982c022657f8cab86cd24b3686f_CompactionTaskTest.java,,2017-08-10_TO_2018-02-10/files/3_e9cc805db1133982c022657f8cab86cd24b3686f_CompactionTaskTest.java,,2,1,0,0,0,2,0,0,0,0,0,0,0,,,0,0,0,0,2,0
cassandra,4_f4da90aca0e79664ea06212283f6cd5f9288d441_PendingAntiCompactionTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10//files//4_f4da90aca0e79664ea06212283f6cd5f9288d441_PendingAntiCompactionTest.java,,2017-08-10_TO_2018-02-10//files//4_f4da90aca0e79664ea06212283f6cd5f9288d441_PendingAntiCompactionTest.java,,8,2,0,0,0,8,8,0,0,0,0,0,0,,,1,0,0,0,7,0
cassandra,4_e9cc805db1133982c022657f8cab86cd24b3686f_PendingAntiCompactionTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10/files/4_e9cc805db1133982c022657f8cab86cd24b3686f_PendingAntiCompactionTest.java,,2017-08-10_TO_2018-02-10/files/4_e9cc805db1133982c022657f8cab86cd24b3686f_PendingAntiCompactionTest.java,,8,2,0,0,0,9,9,0,0,0,0,0,0,,,1,1,0,0,7,0
cassandra,5_62d39f6544e3fbcbc268aecbb3a46950dcba2bf0_RangeFetchMapCalculatorTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10//files//5_62d39f6544e3fbcbc268aecbb3a46950dcba2bf0_RangeFetchMapCalculatorTest.java,,2017-08-10_TO_2018-02-10//files//5_62d39f6544e3fbcbc268aecbb3a46950dcba2bf0_RangeFetchMapCalculatorTest.java,,0,0,0,0,0,10,0,0,0,0,0,0,0,,,0,0,0,0,8,0
cassandra,5_ff06424faccc8acedd027c71e955a38fd8ddee6c_RangeFetchMapCalculatorTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10/files/5_ff06424faccc8acedd027c71e955a38fd8ddee6c_RangeFetchMapCalculatorTest.java,,2017-08-10_TO_2018-02-10/files/5_ff06424faccc8acedd027c71e955a38fd8ddee6c_RangeFetchMapCalculatorTest.java,,1,0,0,0,0,12,0,0,0,0,0,0,0,,,0,0,0,0,8,0
cassandra,6_fab384560311ec1f3043fbf6137093ea129afa68_BatchlogEndpointFilterTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10//files//6_fab384560311ec1f3043fbf6137093ea129afa68_BatchlogEndpointFilterTest.java,,2017-08-10_TO_2018-02-10//files//6_fab384560311ec1f3043fbf6137093ea129afa68_BatchlogEndpointFilterTest.java,,3,0,0,0,0,4,0,0,0,0,0,0,0,,,0,0,0,0,4,0
cassandra,6_c2b635ac240ae8d9375fd96791a5aba903a94498_BatchlogEndpointFilterTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10/files/6_c2b635ac240ae8d9375fd96791a5aba903a94498_BatchlogEndpointFilterTest.java,,2017-08-10_TO_2018-02-10/files/6_c2b635ac240ae8d9375fd96791a5aba903a94498_BatchlogEndpointFilterTest.java,,5,0,0,0,0,5,0,0,0,0,0,0,0,,,0,0,0,0,5,0
cassandra,7_99e5f7efc33fb3672e11dfba9f2521d09473dddf_DatabaseDescriptorRefTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10//files//7_99e5f7efc33fb3672e11dfba9f2521d09473dddf_DatabaseDescriptorRefTest.java,,2017-08-10_TO_2018-02-10//files//7_99e5f7efc33fb3672e11dfba9f2521d09473dddf_DatabaseDescriptorRefTest.java,,0,1,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0
cassandra,7_256a74faa31fcf25bdae753c563fa2c69f7f355c_DatabaseDescriptorRefTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10/files/7_256a74faa31fcf25bdae753c563fa2c69f7f355c_DatabaseDescriptorRefTest.java,,2017-08-10_TO_2018-02-10/files/7_256a74faa31fcf25bdae753c563fa2c69f7f355c_DatabaseDescriptorRefTest.java,,0,1,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0
cassandra,8_b76a48b61f284efa9ba514e2c296b96654cb1a93_PendingRepairManagerTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10//files//8_b76a48b61f284efa9ba514e2c296b96654cb1a93_PendingRepairManagerTest.java,,2017-08-10_TO_2018-02-10//files//8_b76a48b61f284efa9ba514e2c296b96654cb1a93_PendingRepairManagerTest.java,,7,0,0,0,0,2,0,0,0,0,0,0,0,,,2,0,0,0,6,0
cassandra,8_c066f126e20180ae0230b7d6a61666152149a79f_PendingRepairManagerTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10/files/8_c066f126e20180ae0230b7d6a61666152149a79f_PendingRepairManagerTest.java,,2017-08-10_TO_2018-02-10/files/8_c066f126e20180ae0230b7d6a61666152149a79f_PendingRepairManagerTest.java,,8,0,0,0,0,3,0,0,0,0,0,0,0,,,3,0,0,0,6,0
cassandra,9_c066f126e20180ae0230b7d6a61666152149a79f_PendingRepairManagerTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10//files//9_c066f126e20180ae0230b7d6a61666152149a79f_PendingRepairManagerTest.java,,2017-08-10_TO_2018-02-10//files//9_c066f126e20180ae0230b7d6a61666152149a79f_PendingRepairManagerTest.java,,8,0,0,0,0,3,0,0,0,0,0,0,0,,,3,0,0,0,6,0
cassandra,9_e1a1b80d424e31eeb5805c710ce010953160e3a4_PendingRepairManagerTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10/files/9_e1a1b80d424e31eeb5805c710ce010953160e3a4_PendingRepairManagerTest.java,,2017-08-10_TO_2018-02-10/files/9_e1a1b80d424e31eeb5805c710ce010953160e3a4_PendingRepairManagerTest.java,,9,0,0,0,0,3,0,0,0,0,0,0,0,,,3,0,0,0,6,0
cassandra,10_c066f126e20180ae0230b7d6a61666152149a79f_LocalSessionTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10//files//10_c066f126e20180ae0230b7d6a61666152149a79f_LocalSessionTest.java,,2017-08-10_TO_2018-02-10//files//10_c066f126e20180ae0230b7d6a61666152149a79f_LocalSessionTest.java,,20,0,0,0,0,16,0,0,0,0,0,0,0,,,6,0,0,0,3,0
cassandra,10_e1a1b80d424e31eeb5805c710ce010953160e3a4_LocalSessionTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10/files/10_e1a1b80d424e31eeb5805c710ce010953160e3a4_LocalSessionTest.java,,2017-08-10_TO_2018-02-10/files/10_e1a1b80d424e31eeb5805c710ce010953160e3a4_LocalSessionTest.java,,21,0,0,0,0,17,0,0,0,0,0,0,0,,,7,0,0,0,3,0
cassandra,11_dc32ed80d727ca644d2162fbf0fb316811cd1adf_SystemKeyspaceTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10//files//11_dc32ed80d727ca644d2162fbf0fb316811cd1adf_SystemKeyspaceTest.java,,2017-08-10_TO_2018-02-10//files//11_dc32ed80d727ca644d2162fbf0fb316811cd1adf_SystemKeyspaceTest.java,,1,3,0,0,0,7,0,1,0,0,0,0,0,,,1,7,2,1,1,0
cassandra,11_ec85b4a96390ef5bf85acac42f9c93a68620b668_SystemKeyspaceTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10/files/11_ec85b4a96390ef5bf85acac42f9c93a68620b668_SystemKeyspaceTest.java,,2017-08-10_TO_2018-02-10/files/11_ec85b4a96390ef5bf85acac42f9c93a68620b668_SystemKeyspaceTest.java,,1,3,0,0,0,7,0,1,0,0,0,0,0,,,1,7,2,1,1,0
cassandra,12_dc32ed80d727ca644d2162fbf0fb316811cd1adf_FailureDetectorTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10//files//12_dc32ed80d727ca644d2162fbf0fb316811cd1adf_FailureDetectorTest.java,,2017-08-10_TO_2018-02-10//files//12_dc32ed80d727ca644d2162fbf0fb316811cd1adf_FailureDetectorTest.java,,0,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0
cassandra,12_ec85b4a96390ef5bf85acac42f9c93a68620b668_FailureDetectorTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10/files/12_ec85b4a96390ef5bf85acac42f9c93a68620b668_FailureDetectorTest.java,,2017-08-10_TO_2018-02-10/files/12_ec85b4a96390ef5bf85acac42f9c93a68620b668_FailureDetectorTest.java,,0,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0
cassandra,13_dc32ed80d727ca644d2162fbf0fb316811cd1adf_LeaveAndBootstrapTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10//files//13_dc32ed80d727ca644d2162fbf0fb316811cd1adf_LeaveAndBootstrapTest.java,,2017-08-10_TO_2018-02-10//files//13_dc32ed80d727ca644d2162fbf0fb316811cd1adf_LeaveAndBootstrapTest.java,,7,2,0,0,0,8,0,0,0,0,0,0,1,,,6,1,0,0,5,0
cassandra,13_ec85b4a96390ef5bf85acac42f9c93a68620b668_LeaveAndBootstrapTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10/files/13_ec85b4a96390ef5bf85acac42f9c93a68620b668_LeaveAndBootstrapTest.java,,2017-08-10_TO_2018-02-10/files/13_ec85b4a96390ef5bf85acac42f9c93a68620b668_LeaveAndBootstrapTest.java,,7,2,0,0,0,8,0,0,0,0,0,0,1,,,6,1,0,0,5,0
cassandra,14_3d4a7e7b61c7eb2c8736fce2bde47c14564d5982_ReadCommandTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10//files//14_3d4a7e7b61c7eb2c8736fce2bde47c14564d5982_ReadCommandTest.java,,2017-08-10_TO_2018-02-10//files//14_3d4a7e7b61c7eb2c8736fce2bde47c14564d5982_ReadCommandTest.java,,4,1,0,0,0,4,0,0,0,0,1,0,0,,,0,0,0,0,4,0
cassandra,14_356dc3c253224751cbf80b32cfce4e3c1640de11_ReadCommandTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10/files/14_356dc3c253224751cbf80b32cfce4e3c1640de11_ReadCommandTest.java,,2017-08-10_TO_2018-02-10/files/14_356dc3c253224751cbf80b32cfce4e3c1640de11_ReadCommandTest.java,,4,1,0,0,0,4,0,0,0,0,1,0,0,,,0,0,0,0,4,0
cassandra,15_3d4a7e7b61c7eb2c8736fce2bde47c14564d5982_EC2SnitchTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10//files//15_3d4a7e7b61c7eb2c8736fce2bde47c14564d5982_EC2SnitchTest.java,,2017-08-10_TO_2018-02-10//files//15_3d4a7e7b61c7eb2c8736fce2bde47c14564d5982_EC2SnitchTest.java,,3,0,0,0,0,3,0,0,0,0,0,0,0,,,1,0,0,0,0,0
cassandra,15_356dc3c253224751cbf80b32cfce4e3c1640de11_EC2SnitchTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10/files/15_356dc3c253224751cbf80b32cfce4e3c1640de11_EC2SnitchTest.java,,2017-08-10_TO_2018-02-10/files/15_356dc3c253224751cbf80b32cfce4e3c1640de11_EC2SnitchTest.java,,2,0,0,0,0,2,0,0,0,0,0,0,0,,,0,0,0,0,0,0
cassandra,16_3d4a7e7b61c7eb2c8736fce2bde47c14564d5982_MessagingServiceTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10//files//16_3d4a7e7b61c7eb2c8736fce2bde47c14564d5982_MessagingServiceTest.java,,2017-08-10_TO_2018-02-10//files//16_3d4a7e7b61c7eb2c8736fce2bde47c14564d5982_MessagingServiceTest.java,,10,1,0,0,0,11,0,0,0,0,1,0,0,,,6,0,0,0,3,0
cassandra,16_356dc3c253224751cbf80b32cfce4e3c1640de11_MessagingServiceTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10/files/16_356dc3c253224751cbf80b32cfce4e3c1640de11_MessagingServiceTest.java,,2017-08-10_TO_2018-02-10/files/16_356dc3c253224751cbf80b32cfce4e3c1640de11_MessagingServiceTest.java,,11,2,0,0,0,13,0,0,0,0,1,0,0,,,8,0,0,0,4,0
cassandra,17_3d4a7e7b61c7eb2c8736fce2bde47c14564d5982_OutboundTcpConnectionTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10//files//17_3d4a7e7b61c7eb2c8736fce2bde47c14564d5982_OutboundTcpConnectionTest.java,,2017-08-10_TO_2018-02-10//files//17_3d4a7e7b61c7eb2c8736fce2bde47c14564d5982_OutboundTcpConnectionTest.java,,0,0,0,0,0,2,0,0,0,0,0,0,0,,,0,0,0,0,0,0
cassandra,18_356dc3c253224751cbf80b32cfce4e3c1640de11_ByteBufDataOutputPlusTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10/files/18_356dc3c253224751cbf80b32cfce4e3c1640de11_ByteBufDataOutputPlusTest.java,,2017-08-10_TO_2018-02-10/files/18_356dc3c253224751cbf80b32cfce4e3c1640de11_ByteBufDataOutputPlusTest.java,,2,2,0,0,0,3,0,0,0,0,0,0,0,,,0,0,0,0,0,0
cassandra,19_356dc3c253224751cbf80b32cfce4e3c1640de11_ChannelWriterTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10/files/19_356dc3c253224751cbf80b32cfce4e3c1640de11_ChannelWriterTest.java,,2017-08-10_TO_2018-02-10/files/19_356dc3c253224751cbf80b32cfce4e3c1640de11_ChannelWriterTest.java,,16,1,0,0,0,0,18,0,0,0,0,0,0,,,7,0,0,0,7,0
cassandra,20_356dc3c253224751cbf80b32cfce4e3c1640de11_HandshakeHandlersTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10/files/20_356dc3c253224751cbf80b32cfce4e3c1640de11_HandshakeHandlersTest.java,,2017-08-10_TO_2018-02-10/files/20_356dc3c253224751cbf80b32cfce4e3c1640de11_HandshakeHandlersTest.java,,1,1,0,0,0,2,0,0,0,0,0,0,0,,,1,2,0,0,1,0
cassandra,21_356dc3c253224751cbf80b32cfce4e3c1640de11_HandshakeProtocolTest.java,/hdd/dj/testSmellDetection/data/cassandra/2017-08-10_TO_2018-02-10/files/21_356dc3c253224751cbf80b32cfce4e3c1640de11_HandshakeProtocolTest.java,,2017-08-10_TO_2018-02-10/files/21_356dc3c253224751cbf80b32cfce4e3c1640de11_HandshakeProtocolTest.java,,2,0,0,0,0,3,0,0,0,0,0,0,0,,,0,1,0,0,0,0
