App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
cxf,0_b1c6125f50b294b0e2ebc927671e2ff53b5001bf_ClientImplTest.java,/hdd/dj/testSmellDetection/data/cxf/2017-03-06_TO_2017-09-06/files/0_b1c6125f50b294b0e2ebc927671e2ff53b5001bf_ClientImplTest.java,/hdd/dj/testSmellDetection/data/cxf/2017-03-06_TO_2017-09-06/files/0_b1c6125f50b294b0e2ebc927671e2ff53b5001bf_ClientImpl.java,2017-03-06_TO_2017-09-06/files/0_b1c6125f50b294b0e2ebc927671e2ff53b5001bf_ClientImplTest.java,2017-03-06_TO_2017-09-06/files/0_b1c6125f50b294b0e2ebc927671e2ff53b5001bf_ClientImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0
cxf,1_cbd4e7fa6b3e15d39f12d39a448ee3742d5d3efe_JAXRS20ClientServerBookTest.java,/hdd/dj/testSmellDetection/data/cxf/2017-03-06_TO_2017-09-06//files//1_cbd4e7fa6b3e15d39f12d39a448ee3742d5d3efe_JAXRS20ClientServerBookTest.java,,2017-03-06_TO_2017-09-06//files//1_cbd4e7fa6b3e15d39f12d39a448ee3742d5d3efe_JAXRS20ClientServerBookTest.java,,14,0,0,0,0,25,0,0,0,0,2,0,0,,,2,12,0,0,9,0
cxf,1_b1c6125f50b294b0e2ebc927671e2ff53b5001bf_JAXRS20ClientServerBookTest.java,/hdd/dj/testSmellDetection/data/cxf/2017-03-06_TO_2017-09-06/files/1_b1c6125f50b294b0e2ebc927671e2ff53b5001bf_JAXRS20ClientServerBookTest.java,,2017-03-06_TO_2017-09-06/files/1_b1c6125f50b294b0e2ebc927671e2ff53b5001bf_JAXRS20ClientServerBookTest.java,,15,0,0,0,0,25,0,0,0,0,2,0,0,,,2,12,0,0,9,0
cxf,2_7797fe3db59cf9a42c84c5e846e51055ba58256f_ClientImplTest.java,/hdd/dj/testSmellDetection/data/cxf/2017-03-06_TO_2017-09-06/files/2_7797fe3db59cf9a42c84c5e846e51055ba58256f_ClientImplTest.java,/hdd/dj/testSmellDetection/data/cxf/2017-03-06_TO_2017-09-06/files/2_7797fe3db59cf9a42c84c5e846e51055ba58256f_ClientImpl.java,2017-03-06_TO_2017-09-06/files/2_7797fe3db59cf9a42c84c5e846e51055ba58256f_ClientImplTest.java,2017-03-06_TO_2017-09-06/files/2_7797fe3db59cf9a42c84c5e846e51055ba58256f_ClientImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0
cxf,3_21726730cea8efe7a2a9396cdae89eab7ca57de5_JAXRS20ClientServerBookTest.java,/hdd/dj/testSmellDetection/data/cxf/2017-03-06_TO_2017-09-06//files//3_21726730cea8efe7a2a9396cdae89eab7ca57de5_JAXRS20ClientServerBookTest.java,,2017-03-06_TO_2017-09-06//files//3_21726730cea8efe7a2a9396cdae89eab7ca57de5_JAXRS20ClientServerBookTest.java,,14,0,0,0,0,25,0,0,0,0,2,0,0,,,2,12,0,0,9,0
cxf,3_7797fe3db59cf9a42c84c5e846e51055ba58256f_JAXRS20ClientServerBookTest.java,/hdd/dj/testSmellDetection/data/cxf/2017-03-06_TO_2017-09-06/files/3_7797fe3db59cf9a42c84c5e846e51055ba58256f_JAXRS20ClientServerBookTest.java,,2017-03-06_TO_2017-09-06/files/3_7797fe3db59cf9a42c84c5e846e51055ba58256f_JAXRS20ClientServerBookTest.java,,15,0,0,0,0,25,0,0,0,0,2,0,0,,,2,12,0,0,9,0
cxf,4_09fb22b25333c66514f06652ceaf7fc11bde51cc_ClientMtomXopTest.java,/hdd/dj/testSmellDetection/data/cxf/2017-03-06_TO_2017-09-06//files//4_09fb22b25333c66514f06652ceaf7fc11bde51cc_ClientMtomXopTest.java,,2017-03-06_TO_2017-09-06//files//4_09fb22b25333c66514f06652ceaf7fc11bde51cc_ClientMtomXopTest.java,,2,2,0,0,0,2,0,0,2,0,0,0,0,,,1,0,1,0,0,0
cxf,4_08c9194ce2c567ebfe59f59ee628b1197d90fd43_ClientMtomXopTest.java,/hdd/dj/testSmellDetection/data/cxf/2017-03-06_TO_2017-09-06/files/4_08c9194ce2c567ebfe59f59ee628b1197d90fd43_ClientMtomXopTest.java,,2017-03-06_TO_2017-09-06/files/4_08c9194ce2c567ebfe59f59ee628b1197d90fd43_ClientMtomXopTest.java,,3,3,0,0,0,3,0,0,3,0,0,0,0,,,2,0,1,0,0,0
cxf,5_08c9194ce2c567ebfe59f59ee628b1197d90fd43_TestMtomProviderImpl.java,/hdd/dj/testSmellDetection/data/cxf/2017-03-06_TO_2017-09-06/files/5_08c9194ce2c567ebfe59f59ee628b1197d90fd43_TestMtomProviderImpl.java,,2017-03-06_TO_2017-09-06/files/5_08c9194ce2c567ebfe59f59ee628b1197d90fd43_TestMtomProviderImpl.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
cxf,6_97a875177b00ef2f23b4018b9aaa233e8be24557_JAXRSClientServerBookTest.java,/hdd/dj/testSmellDetection/data/cxf/2017-03-06_TO_2017-09-06//files//6_97a875177b00ef2f23b4018b9aaa233e8be24557_JAXRSClientServerBookTest.java,,2017-03-06_TO_2017-09-06//files//6_97a875177b00ef2f23b4018b9aaa233e8be24557_JAXRSClientServerBookTest.java,,95,1,0,0,0,197,0,12,1,0,7,0,0,,,5,30,0,4,82,0
