App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
flink,0_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_FailedAccumulatorSerializationTest.java,/hdd/dj/testSmellDetection/data/flink/2018-01-25_TO_2018-07-25/files/0_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_FailedAccumulatorSerializationTest.java,/hdd/dj/testSmellDetection/data/flink/2018-01-25_TO_2018-07-25/files/0_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_FailedAccumulatorSerialization.java,2018-01-25_TO_2018-07-25/files/0_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_FailedAccumulatorSerializationTest.java,2018-01-25_TO_2018-07-25/files/0_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_FailedAccumulatorSerialization.java,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
flink,1_976d004ce8204d4c8020b86368e00c98537c657d_DispatcherTest.java,/hdd/dj/testSmellDetection/data/flink/2018-01-25_TO_2018-07-25//files//1_976d004ce8204d4c8020b86368e00c98537c657d_DispatcherTest.java,/hdd/dj/testSmellDetection/data/flink/2018-01-25_TO_2018-07-25//files//1_976d004ce8204d4c8020b86368e00c98537c657d_Dispatcher.java,2018-01-25_TO_2018-07-25//files//1_976d004ce8204d4c8020b86368e00c98537c657d_DispatcherTest.java,2018-01-25_TO_2018-07-25//files//1_976d004ce8204d4c8020b86368e00c98537c657d_Dispatcher.java,3,0,0,0,0,5,5,0,0,0,0,0,0,2,5,0,0,0,0,1,0
flink,1_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_DispatcherTest.java,/hdd/dj/testSmellDetection/data/flink/2018-01-25_TO_2018-07-25/files/1_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_DispatcherTest.java,/hdd/dj/testSmellDetection/data/flink/2018-01-25_TO_2018-07-25/files/1_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_Dispatcher.java,2018-01-25_TO_2018-07-25/files/1_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_DispatcherTest.java,2018-01-25_TO_2018-07-25/files/1_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_Dispatcher.java,3,0,0,0,0,5,5,0,0,0,0,0,0,2,5,0,0,0,0,1,0
flink,2_976d004ce8204d4c8020b86368e00c98537c657d_ArchivedExecutionGraphTest.java,/hdd/dj/testSmellDetection/data/flink/2018-01-25_TO_2018-07-25//files//2_976d004ce8204d4c8020b86368e00c98537c657d_ArchivedExecutionGraphTest.java,/hdd/dj/testSmellDetection/data/flink/2018-01-25_TO_2018-07-25//files//2_976d004ce8204d4c8020b86368e00c98537c657d_ArchivedExecutionGraph.java,2018-01-25_TO_2018-07-25//files//2_976d004ce8204d4c8020b86368e00c98537c657d_ArchivedExecutionGraphTest.java,2018-01-25_TO_2018-07-25//files//2_976d004ce8204d4c8020b86368e00c98537c657d_ArchivedExecutionGraph.java,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
flink,2_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_ArchivedExecutionGraphTest.java,/hdd/dj/testSmellDetection/data/flink/2018-01-25_TO_2018-07-25/files/2_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_ArchivedExecutionGraphTest.java,/hdd/dj/testSmellDetection/data/flink/2018-01-25_TO_2018-07-25/files/2_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_ArchivedExecutionGraph.java,2018-01-25_TO_2018-07-25/files/2_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_ArchivedExecutionGraphTest.java,2018-01-25_TO_2018-07-25/files/2_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_ArchivedExecutionGraph.java,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
flink,3_976d004ce8204d4c8020b86368e00c98537c657d_JobManagerRunnerMockTest.java,/hdd/dj/testSmellDetection/data/flink/2018-01-25_TO_2018-07-25//files//3_976d004ce8204d4c8020b86368e00c98537c657d_JobManagerRunnerMockTest.java,,2018-01-25_TO_2018-07-25//files//3_976d004ce8204d4c8020b86368e00c98537c657d_JobManagerRunnerMockTest.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,6,0,0,0
flink,3_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_JobManagerRunnerMockTest.java,/hdd/dj/testSmellDetection/data/flink/2018-01-25_TO_2018-07-25/files/3_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_JobManagerRunnerMockTest.java,,2018-01-25_TO_2018-07-25/files/3_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_JobManagerRunnerMockTest.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,6,0,0,0
flink,4_976d004ce8204d4c8020b86368e00c98537c657d_JobMasterTest.java,/hdd/dj/testSmellDetection/data/flink/2018-01-25_TO_2018-07-25//files//4_976d004ce8204d4c8020b86368e00c98537c657d_JobMasterTest.java,/hdd/dj/testSmellDetection/data/flink/2018-01-25_TO_2018-07-25//files//4_976d004ce8204d4c8020b86368e00c98537c657d_JobMaster.java,2018-01-25_TO_2018-07-25//files//4_976d004ce8204d4c8020b86368e00c98537c657d_JobMasterTest.java,2018-01-25_TO_2018-07-25//files//4_976d004ce8204d4c8020b86368e00c98537c657d_JobMaster.java,2,0,0,0,0,2,0,0,1,0,0,0,0,2,7,0,0,0,0,0,0
flink,4_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_JobMasterTest.java,/hdd/dj/testSmellDetection/data/flink/2018-01-25_TO_2018-07-25/files/4_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_JobMasterTest.java,/hdd/dj/testSmellDetection/data/flink/2018-01-25_TO_2018-07-25/files/4_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_JobMaster.java,2018-01-25_TO_2018-07-25/files/4_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_JobMasterTest.java,2018-01-25_TO_2018-07-25/files/4_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_JobMaster.java,2,0,0,0,0,2,0,0,1,0,0,0,0,2,7,0,0,0,0,0,0
flink,5_976d004ce8204d4c8020b86368e00c98537c657d_JobExceptionsHandlerTest.java,/hdd/dj/testSmellDetection/data/flink/2018-01-25_TO_2018-07-25//files//5_976d004ce8204d4c8020b86368e00c98537c657d_JobExceptionsHandlerTest.java,/hdd/dj/testSmellDetection/data/flink/2018-01-25_TO_2018-07-25//files//5_976d004ce8204d4c8020b86368e00c98537c657d_JobExceptionsHandler.java,2018-01-25_TO_2018-07-25//files//5_976d004ce8204d4c8020b86368e00c98537c657d_JobExceptionsHandlerTest.java,2018-01-25_TO_2018-07-25//files//5_976d004ce8204d4c8020b86368e00c98537c657d_JobExceptionsHandler.java,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
flink,5_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_JobExceptionsHandlerTest.java,/hdd/dj/testSmellDetection/data/flink/2018-01-25_TO_2018-07-25/files/5_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_JobExceptionsHandlerTest.java,/hdd/dj/testSmellDetection/data/flink/2018-01-25_TO_2018-07-25/files/5_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_JobExceptionsHandler.java,2018-01-25_TO_2018-07-25/files/5_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_JobExceptionsHandlerTest.java,2018-01-25_TO_2018-07-25/files/5_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_JobExceptionsHandler.java,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
flink,6_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_BucketingSinkTest.java,/hdd/dj/testSmellDetection/data/flink/2018-01-25_TO_2018-07-25//files//6_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_BucketingSinkTest.java,/hdd/dj/testSmellDetection/data/flink/2018-01-25_TO_2018-07-25//files//6_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_BucketingSink.java,2018-01-25_TO_2018-07-25//files//6_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_BucketingSinkTest.java,2018-01-25_TO_2018-07-25//files//6_8f9dbeca8bbb8f74bc17410b2f39903ea1f95af1_BucketingSink.java,5,7,0,0,0,13,0,8,0,0,1,0,0,9,75,1,6,0,8,3,0
