parent_commit,parent_test_file,current_commit,current_test_file,committer,committed_date,change_type,parent_prod_file,current_prod_file
d5ec911f55784de57ca9d6421a0b3c947f1530f2,flink-connectors/flink-connector-kinesis/src/test/java/org/apache/flink/streaming/connectors/kinesis/proxy/KinesisProxyTest.java,9fec5cae65a7cddea5dff47e5cade50493f6cbdf,flink-connectors/flink-connector-kinesis/src/test/java/org/apache/flink/streaming/connectors/kinesis/proxy/KinesisProxyTest.java,Tzu-Li (Gordon) Tai,1524053374,M,/hdd/dj/testSmellDetection/gitRepo/flink/flink-connectors/flink-connector-kinesis/src/main/java/org/apache/flink/streaming/connectors/kinesis/proxy/KinesisProxy.java,/hdd/dj/testSmellDetection/gitRepo/flink/flink-connectors/flink-connector-kinesis/src/main/java/org/apache/flink/streaming/connectors/kinesis/proxy/KinesisProxy.java
f0deb985c85c37eafc1a516695343f46589558a3,flink-connectors/flink-connector-kinesis/src/test/java/org/apache/flink/streaming/connectors/kinesis/proxy/KinesisProxyTest.java,aa54b87b25a82eb4cf8701f0f73ec6a240c5ba54,flink-connectors/flink-connector-kinesis/src/test/java/org/apache/flink/streaming/connectors/kinesis/proxy/KinesisProxyTest.java,Tzu-Li (Gordon) Tai,1524053454,M,/hdd/dj/testSmellDetection/gitRepo/flink/flink-connectors/flink-connector-kinesis/src/main/java/org/apache/flink/streaming/connectors/kinesis/proxy/KinesisProxy.java,/hdd/dj/testSmellDetection/gitRepo/flink/flink-connectors/flink-connector-kinesis/src/main/java/org/apache/flink/streaming/connectors/kinesis/proxy/KinesisProxy.java
ae0b496c4d0f55a7752a0900bf32d4f1215302c2,flink-clients/src/test/java/org/apache/flink/client/program/rest/RestClusterClientTest.java,9e0c42edceb4ae981018a0243669722d060d8f96,flink-clients/src/test/java/org/apache/flink/client/program/rest/RestClusterClientTest.java,zentol,1524124694,M,/hdd/dj/testSmellDetection/gitRepo/flink/flink-clients/src/main/java/org/apache/flink/client/program/rest/RestClusterClient.java,/hdd/dj/testSmellDetection/gitRepo/flink/flink-clients/src/main/java/org/apache/flink/client/program/rest/RestClusterClient.java
9e0c42edceb4ae981018a0243669722d060d8f96,flink-runtime/src/test/java/org/apache/flink/runtime/clusterframework/types/ResourceProfileTest.java,469cab48d726a7de5ddd3d2991da05d59d8499b5,flink-runtime/src/test/java/org/apache/flink/runtime/clusterframework/types/ResourceProfileTest.java,zentol,1524124694,M,/hdd/dj/testSmellDetection/gitRepo/flink/flink-runtime/src/main/java/org/apache/flink/runtime/clusterframework/types/ResourceProfile.java,/hdd/dj/testSmellDetection/gitRepo/flink/flink-runtime/src/main/java/org/apache/flink/runtime/clusterframework/types/ResourceProfile.java
9e0c42edceb4ae981018a0243669722d060d8f96,flink-runtime/src/test/java/org/apache/flink/runtime/rest/messages/JobAccumulatorsInfoTest.java,469cab48d726a7de5ddd3d2991da05d59d8499b5,flink-runtime/src/test/java/org/apache/flink/runtime/rest/messages/JobAccumulatorsInfoTest.java,zentol,1524124694,M,/hdd/dj/testSmellDetection/gitRepo/flink/flink-runtime/src/main/java/org/apache/flink/runtime/rest/messages/JobAccumulatorsInfo.java,/hdd/dj/testSmellDetection/gitRepo/flink/flink-runtime/src/main/java/org/apache/flink/runtime/rest/messages/JobAccumulatorsInfo.java
9e0c42edceb4ae981018a0243669722d060d8f96,flink-yarn/src/test/java/org/apache/flink/yarn/UtilsTest.java,469cab48d726a7de5ddd3d2991da05d59d8499b5,flink-yarn/src/test/java/org/apache/flink/yarn/UtilsTest.java,zentol,1524124694,M,/hdd/dj/testSmellDetection/gitRepo/flink/flink-yarn/src/main/java/org/apache/flink/yarn/Utils.java,/hdd/dj/testSmellDetection/gitRepo/flink/flink-yarn/src/main/java/org/apache/flink/yarn/Utils.java
84469f841979bea8ecaada4cee75659c2af9fb8c,flink-clients/src/test/java/org/apache/flink/client/program/rest/RestClusterClientTest.java,5fed11735ecbf31f6108c9542af764892168b60c,flink-clients/src/test/java/org/apache/flink/client/program/rest/RestClusterClientTest.java,zentol,1524124859,M,/hdd/dj/testSmellDetection/gitRepo/flink/flink-clients/src/main/java/org/apache/flink/client/program/rest/RestClusterClient.java,/hdd/dj/testSmellDetection/gitRepo/flink/flink-clients/src/main/java/org/apache/flink/client/program/rest/RestClusterClient.java
5fed11735ecbf31f6108c9542af764892168b60c,flink-runtime/src/test/java/org/apache/flink/runtime/clusterframework/types/ResourceProfileTest.java,7db83b6b5f231095b6ff0adb092740c2b316223d,flink-runtime/src/test/java/org/apache/flink/runtime/clusterframework/types/ResourceProfileTest.java,zentol,1524124860,M,/hdd/dj/testSmellDetection/gitRepo/flink/flink-runtime/src/main/java/org/apache/flink/runtime/clusterframework/types/ResourceProfile.java,/hdd/dj/testSmellDetection/gitRepo/flink/flink-runtime/src/main/java/org/apache/flink/runtime/clusterframework/types/ResourceProfile.java
5fed11735ecbf31f6108c9542af764892168b60c,flink-runtime/src/test/java/org/apache/flink/runtime/rest/messages/JobAccumulatorsInfoTest.java,7db83b6b5f231095b6ff0adb092740c2b316223d,flink-runtime/src/test/java/org/apache/flink/runtime/rest/messages/JobAccumulatorsInfoTest.java,zentol,1524124860,M,/hdd/dj/testSmellDetection/gitRepo/flink/flink-runtime/src/main/java/org/apache/flink/runtime/rest/messages/JobAccumulatorsInfo.java,/hdd/dj/testSmellDetection/gitRepo/flink/flink-runtime/src/main/java/org/apache/flink/runtime/rest/messages/JobAccumulatorsInfo.java
5fed11735ecbf31f6108c9542af764892168b60c,flink-yarn/src/test/java/org/apache/flink/yarn/UtilsTest.java,7db83b6b5f231095b6ff0adb092740c2b316223d,flink-yarn/src/test/java/org/apache/flink/yarn/UtilsTest.java,zentol,1524124860,M,/hdd/dj/testSmellDetection/gitRepo/flink/flink-yarn/src/main/java/org/apache/flink/yarn/Utils.java,/hdd/dj/testSmellDetection/gitRepo/flink/flink-yarn/src/main/java/org/apache/flink/yarn/Utils.java
