parent_commit,parent_test_file,current_commit,current_test_file,committer,committed_date,change_type,parent_prod_file,current_prod_file
2be3fe8599e2535873f3c181f53eeee255df5c3d,subprojects/groovy-groovydoc/src/test/groovy/org/codehaus/groovy/tools/groovydoc/GroovyDocToolTest.java,86f345d7236013b9d8eb2deb39ee7acf0ec2c4ca,subprojects/groovy-groovydoc/src/test/groovy/org/codehaus/groovy/tools/groovydoc/GroovyDocToolTest.java,paulk,1472692805,M,/hdd/dj/testSmellDetection/gitRepo/groovy/subprojects/groovy-groovydoc/src/main/java/org/codehaus/groovy/tools/groovydoc/GroovyDocTool.java,/hdd/dj/testSmellDetection/gitRepo/groovy/subprojects/groovy-groovydoc/src/main/java/org/codehaus/groovy/tools/groovydoc/GroovyDocTool.java
8faf42e2d96b1577d58b27b4617826a023e434bd,subprojects/groovy-groovydoc/src/test/groovy/org/codehaus/groovy/tools/groovydoc/GroovyDocToolTest.java,d4209608fb6502ff83dd26823b11999467a74a79,subprojects/groovy-groovydoc/src/test/groovy/org/codehaus/groovy/tools/groovydoc/GroovyDocToolTest.java,paulk,1472693978,M,/hdd/dj/testSmellDetection/gitRepo/groovy/subprojects/groovy-groovydoc/src/main/java/org/codehaus/groovy/tools/groovydoc/GroovyDocTool.java,/hdd/dj/testSmellDetection/gitRepo/groovy/subprojects/groovy-groovydoc/src/main/java/org/codehaus/groovy/tools/groovydoc/GroovyDocTool.java
84f6288b972d0eb864f26df654dde48dc17ab194,src/test/org/codehaus/groovy/control/CompilerConfigurationTest.java,4241dce7a8f13713165bb19107935c1e463d8a6f,src/test/org/codehaus/groovy/control/CompilerConfigurationTest.java,John Wagenleitner,1473559803,M,/hdd/dj/testSmellDetection/gitRepo/groovy/src/main/org/codehaus/groovy/control/CompilerConfiguration.java,/hdd/dj/testSmellDetection/gitRepo/groovy/src/main/org/codehaus/groovy/control/CompilerConfiguration.java
49d5dd15901aecdb8c39b6974080f63cf6ca5747,src/test/org/codehaus/groovy/control/CompilerConfigurationTest.java,5bae714d27665762a1b89d251dd8870167c06b30,src/test/org/codehaus/groovy/control/CompilerConfigurationTest.java,John Wagenleitner,1473560349,M,/hdd/dj/testSmellDetection/gitRepo/groovy/src/main/org/codehaus/groovy/control/CompilerConfiguration.java,/hdd/dj/testSmellDetection/gitRepo/groovy/src/main/org/codehaus/groovy/control/CompilerConfiguration.java
94137c91379b8152afe7e76e59c6537dc5a12ef3,subprojects/groovy-groovydoc/src/test/groovy/org/codehaus/groovy/tools/groovydoc/GroovyDocToolTest.java,5e74067e817d4f4237f0daec5112796087c8d2c8,subprojects/groovy-groovydoc/src/test/groovy/org/codehaus/groovy/tools/groovydoc/GroovyDocToolTest.java,paulk,1475583608,M,/hdd/dj/testSmellDetection/gitRepo/groovy/subprojects/groovy-groovydoc/src/main/java/org/codehaus/groovy/tools/groovydoc/GroovyDocTool.java,/hdd/dj/testSmellDetection/gitRepo/groovy/subprojects/groovy-groovydoc/src/main/java/org/codehaus/groovy/tools/groovydoc/GroovyDocTool.java
331a2c52479b44ffd931e0f4d623bf1327324f14,subprojects/groovy-groovydoc/src/test/groovy/org/codehaus/groovy/tools/groovydoc/GroovyDocToolTest.java,ed1bcec9b67cc239c58fdd243b99b9e6e07f0336,subprojects/groovy-groovydoc/src/test/groovy/org/codehaus/groovy/tools/groovydoc/GroovyDocToolTest.java,paulk,1475616324,M,/hdd/dj/testSmellDetection/gitRepo/groovy/subprojects/groovy-groovydoc/src/main/java/org/codehaus/groovy/tools/groovydoc/GroovyDocTool.java,/hdd/dj/testSmellDetection/gitRepo/groovy/subprojects/groovy-groovydoc/src/main/java/org/codehaus/groovy/tools/groovydoc/GroovyDocTool.java
ed1bcec9b67cc239c58fdd243b99b9e6e07f0336,subprojects/groovy-groovydoc/src/test/groovy/org/codehaus/groovy/tools/groovydoc/GroovyDocToolTest.java,8cfd70f89e96c191da6fb76866806ac3aed3aa4f,subprojects/groovy-groovydoc/src/test/groovy/org/codehaus/groovy/tools/groovydoc/GroovyDocToolTest.java,paulk,1475617433,M,/hdd/dj/testSmellDetection/gitRepo/groovy/subprojects/groovy-groovydoc/src/main/java/org/codehaus/groovy/tools/groovydoc/GroovyDocTool.java,/hdd/dj/testSmellDetection/gitRepo/groovy/subprojects/groovy-groovydoc/src/main/java/org/codehaus/groovy/tools/groovydoc/GroovyDocTool.java
2e2e4718653234e9b070bb96d115f1902faf745f,src/test/groovy/lang/BigDecimalObjectRangeTest.java,445869f433996ff6102e82dac751fa0092bcf1a9,src/test/groovy/lang/BigDecimalObjectRangeTest.java,John Wagenleitner,1475812089,M,,
2e2e4718653234e9b070bb96d115f1902faf745f,src/test/groovy/lang/BigIntegerObjectRangeTest.java,445869f433996ff6102e82dac751fa0092bcf1a9,src/test/groovy/lang/BigIntegerObjectRangeTest.java,John Wagenleitner,1475812089,M,,
2e2e4718653234e9b070bb96d115f1902faf745f,src/test/groovy/lang/DoubleObjectRangeTest.java,445869f433996ff6102e82dac751fa0092bcf1a9,src/test/groovy/lang/DoubleObjectRangeTest.java,John Wagenleitner,1475812089,M,,
