App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
groovy,0_2be3fe8599e2535873f3c181f53eeee255df5c3d_GroovyDocToolTest.java,/hdd/dj/testSmellDetection/data/groovy/2016-08-24_TO_2017-02-24//files//0_2be3fe8599e2535873f3c181f53eeee255df5c3d_GroovyDocToolTest.java,/hdd/dj/testSmellDetection/data/groovy/2016-08-24_TO_2017-02-24//files//0_2be3fe8599e2535873f3c181f53eeee255df5c3d_GroovyDocTool.java,2016-08-24_TO_2017-02-24//files//0_2be3fe8599e2535873f3c181f53eeee255df5c3d_GroovyDocToolTest.java,2016-08-24_TO_2017-02-24//files//0_2be3fe8599e2535873f3c181f53eeee255df5c3d_GroovyDocTool.java,14,1,0,0,0,40,40,0,1,0,0,0,0,24,97,0,13,2,0,4,0
groovy,0_86f345d7236013b9d8eb2deb39ee7acf0ec2c4ca_GroovyDocToolTest.java,/hdd/dj/testSmellDetection/data/groovy/2016-08-24_TO_2017-02-24/files/0_86f345d7236013b9d8eb2deb39ee7acf0ec2c4ca_GroovyDocToolTest.java,/hdd/dj/testSmellDetection/data/groovy/2016-08-24_TO_2017-02-24/files/0_86f345d7236013b9d8eb2deb39ee7acf0ec2c4ca_GroovyDocTool.java,2016-08-24_TO_2017-02-24/files/0_86f345d7236013b9d8eb2deb39ee7acf0ec2c4ca_GroovyDocToolTest.java,2016-08-24_TO_2017-02-24/files/0_86f345d7236013b9d8eb2deb39ee7acf0ec2c4ca_GroovyDocTool.java,14,1,0,0,0,41,41,0,1,0,0,0,0,25,100,1,13,2,0,4,0
groovy,1_8faf42e2d96b1577d58b27b4617826a023e434bd_GroovyDocToolTest.java,/hdd/dj/testSmellDetection/data/groovy/2016-08-24_TO_2017-02-24//files//1_8faf42e2d96b1577d58b27b4617826a023e434bd_GroovyDocToolTest.java,/hdd/dj/testSmellDetection/data/groovy/2016-08-24_TO_2017-02-24//files//1_8faf42e2d96b1577d58b27b4617826a023e434bd_GroovyDocTool.java,2016-08-24_TO_2017-02-24//files//1_8faf42e2d96b1577d58b27b4617826a023e434bd_GroovyDocToolTest.java,2016-08-24_TO_2017-02-24//files//1_8faf42e2d96b1577d58b27b4617826a023e434bd_GroovyDocTool.java,15,1,0,0,0,30,30,0,1,0,0,0,0,23,94,0,4,1,0,4,0
groovy,1_d4209608fb6502ff83dd26823b11999467a74a79_GroovyDocToolTest.java,/hdd/dj/testSmellDetection/data/groovy/2016-08-24_TO_2017-02-24/files/1_d4209608fb6502ff83dd26823b11999467a74a79_GroovyDocToolTest.java,/hdd/dj/testSmellDetection/data/groovy/2016-08-24_TO_2017-02-24/files/1_d4209608fb6502ff83dd26823b11999467a74a79_GroovyDocTool.java,2016-08-24_TO_2017-02-24/files/1_d4209608fb6502ff83dd26823b11999467a74a79_GroovyDocToolTest.java,2016-08-24_TO_2017-02-24/files/1_d4209608fb6502ff83dd26823b11999467a74a79_GroovyDocTool.java,15,1,0,0,0,31,31,0,1,0,0,0,0,24,97,1,4,1,0,4,0
groovy,2_84f6288b972d0eb864f26df654dde48dc17ab194_CompilerConfigurationTest.java,/hdd/dj/testSmellDetection/data/groovy/2016-08-24_TO_2017-02-24//files//2_84f6288b972d0eb864f26df654dde48dc17ab194_CompilerConfigurationTest.java,/hdd/dj/testSmellDetection/data/groovy/2016-08-24_TO_2017-02-24//files//2_84f6288b972d0eb864f26df654dde48dc17ab194_CompilerConfiguration.java,2016-08-24_TO_2017-02-24//files//2_84f6288b972d0eb864f26df654dde48dc17ab194_CompilerConfigurationTest.java,2016-08-24_TO_2017-02-24//files//2_84f6288b972d0eb864f26df654dde48dc17ab194_CompilerConfiguration.java,4,0,0,0,0,0,4,2,0,0,0,0,0,4,106,2,0,0,2,4,0
groovy,2_4241dce7a8f13713165bb19107935c1e463d8a6f_CompilerConfigurationTest.java,/hdd/dj/testSmellDetection/data/groovy/2016-08-24_TO_2017-02-24/files/2_4241dce7a8f13713165bb19107935c1e463d8a6f_CompilerConfigurationTest.java,/hdd/dj/testSmellDetection/data/groovy/2016-08-24_TO_2017-02-24/files/2_4241dce7a8f13713165bb19107935c1e463d8a6f_CompilerConfiguration.java,2016-08-24_TO_2017-02-24/files/2_4241dce7a8f13713165bb19107935c1e463d8a6f_CompilerConfigurationTest.java,2016-08-24_TO_2017-02-24/files/2_4241dce7a8f13713165bb19107935c1e463d8a6f_CompilerConfiguration.java,4,0,0,0,0,0,4,2,0,0,0,0,0,4,106,2,0,0,2,4,0
groovy,3_49d5dd15901aecdb8c39b6974080f63cf6ca5747_CompilerConfigurationTest.java,/hdd/dj/testSmellDetection/data/groovy/2016-08-24_TO_2017-02-24//files//3_49d5dd15901aecdb8c39b6974080f63cf6ca5747_CompilerConfigurationTest.java,/hdd/dj/testSmellDetection/data/groovy/2016-08-24_TO_2017-02-24//files//3_49d5dd15901aecdb8c39b6974080f63cf6ca5747_CompilerConfiguration.java,2016-08-24_TO_2017-02-24//files//3_49d5dd15901aecdb8c39b6974080f63cf6ca5747_CompilerConfigurationTest.java,2016-08-24_TO_2017-02-24//files//3_49d5dd15901aecdb8c39b6974080f63cf6ca5747_CompilerConfiguration.java,4,0,0,0,0,0,4,2,0,0,0,0,0,4,102,2,0,0,2,4,0
groovy,3_5bae714d27665762a1b89d251dd8870167c06b30_CompilerConfigurationTest.java,/hdd/dj/testSmellDetection/data/groovy/2016-08-24_TO_2017-02-24/files/3_5bae714d27665762a1b89d251dd8870167c06b30_CompilerConfigurationTest.java,/hdd/dj/testSmellDetection/data/groovy/2016-08-24_TO_2017-02-24/files/3_5bae714d27665762a1b89d251dd8870167c06b30_CompilerConfiguration.java,2016-08-24_TO_2017-02-24/files/3_5bae714d27665762a1b89d251dd8870167c06b30_CompilerConfigurationTest.java,2016-08-24_TO_2017-02-24/files/3_5bae714d27665762a1b89d251dd8870167c06b30_CompilerConfiguration.java,4,0,0,0,0,0,4,2,0,0,0,0,0,4,102,2,0,0,2,4,0
groovy,4_94137c91379b8152afe7e76e59c6537dc5a12ef3_GroovyDocToolTest.java,/hdd/dj/testSmellDetection/data/groovy/2016-08-24_TO_2017-02-24//files//4_94137c91379b8152afe7e76e59c6537dc5a12ef3_GroovyDocToolTest.java,/hdd/dj/testSmellDetection/data/groovy/2016-08-24_TO_2017-02-24//files//4_94137c91379b8152afe7e76e59c6537dc5a12ef3_GroovyDocTool.java,2016-08-24_TO_2017-02-24//files//4_94137c91379b8152afe7e76e59c6537dc5a12ef3_GroovyDocToolTest.java,2016-08-24_TO_2017-02-24//files//4_94137c91379b8152afe7e76e59c6537dc5a12ef3_GroovyDocTool.java,14,1,0,0,0,41,41,0,1,0,0,0,0,25,100,1,13,2,0,4,0
groovy,4_5e74067e817d4f4237f0daec5112796087c8d2c8_GroovyDocToolTest.java,/hdd/dj/testSmellDetection/data/groovy/2016-08-24_TO_2017-02-24/files/4_5e74067e817d4f4237f0daec5112796087c8d2c8_GroovyDocToolTest.java,/hdd/dj/testSmellDetection/data/groovy/2016-08-24_TO_2017-02-24/files/4_5e74067e817d4f4237f0daec5112796087c8d2c8_GroovyDocTool.java,2016-08-24_TO_2017-02-24/files/4_5e74067e817d4f4237f0daec5112796087c8d2c8_GroovyDocToolTest.java,2016-08-24_TO_2017-02-24/files/4_5e74067e817d4f4237f0daec5112796087c8d2c8_GroovyDocTool.java,14,1,0,0,0,42,42,0,1,0,0,0,0,26,103,1,13,2,0,4,0
