parent_commit,parent_test_file,current_commit,current_test_file,committer,author,committed_date,change_type,parent_prod_file,current_prod_file
e60b797c88541f94cecc7fdbcaad010c4742cfdb,hadoop-hdfs-project/hadoop-hdfs-httpfs/src/test/java/org/apache/hadoop/fs/http/server/TestHttpFSServer.java,396ce0d9f470a5e8af03987ad6396d0f08b3d225,hadoop-hdfs-project/hadoop-hdfs-httpfs/src/test/java/org/apache/hadoop/fs/http/server/TestHttpFSServer.java,Wei-Chiu Chuang,Siyao Meng,1538691467,M,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-hdfs-project/hadoop-hdfs-httpfs/src/main/java/org/apache/hadoop/fs/http/server/HttpFSServer.java,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-hdfs-project/hadoop-hdfs-httpfs/src/main/java/org/apache/hadoop/fs/http/server/HttpFSServer.java
619e490333fa89601fd476dedac6d16610e9a52a,hadoop-ozone/integration-test/src/test/java/org/apache/hadoop/ozone/container/common/impl/TestContainerPersistence.java,7fb91b8a534eaeda55c2de120a7d23f9c90d265b,hadoop-ozone/integration-test/src/test/java/org/apache/hadoop/ozone/container/common/impl/TestContainerPersistence.java,Bharat Viswanadham,Bharat Viswanadham,1538713632,M,,
7fb91b8a534eaeda55c2de120a7d23f9c90d265b,hadoop-ozone/ozone-manager/src/test/java/org/apache/hadoop/ozone/om/TestOzoneManagerLock.java,e6b77ad65f923858fb67f5c2165fefe52d6f8c17,hadoop-ozone/ozone-manager/src/test/java/org/apache/hadoop/ozone/om/TestOzoneManagerLock.java,Anu Engineer,Anu Engineer,1538714413,M,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-ozone/ozone-manager/src/main/java/org/apache/hadoop/ozone/om/OzoneManagerLock.java,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-ozone/ozone-manager/src/main/java/org/apache/hadoop/ozone/om/OzoneManagerLock.java
7fb91b8a534eaeda55c2de120a7d23f9c90d265b,hadoop-ozone/ozone-manager/src/test/java/org/apache/hadoop/ozone/om/TestS3BucketManager.java,e6b77ad65f923858fb67f5c2165fefe52d6f8c17,hadoop-ozone/ozone-manager/src/test/java/org/apache/hadoop/ozone/om/TestS3BucketManager.java,Anu Engineer,Anu Engineer,1538714413,A,,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/common/src/test/java/org/apache/hadoop/ozone/TestOzoneAcls.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/common/src/test/java/org/apache/hadoop/ozone/TestOzoneAcls.java,Sunil G,Sunil G,1538736047,D,,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/common/src/test/java/org/apache/hadoop/ozone/audit/TestOzoneAuditLogger.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/common/src/test/java/org/apache/hadoop/ozone/audit/TestOzoneAuditLogger.java,Sunil G,Sunil G,1538736047,D,,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/common/src/test/java/org/apache/hadoop/ozone/common/TestStateMachine.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/common/src/test/java/org/apache/hadoop/ozone/common/TestStateMachine.java,Sunil G,Sunil G,1538736047,D,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-hdds/common/src/main/java/org/apache/hadoop/ozone/common/statemachine/StateMachine.java,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/common/src/test/java/org/apache/hadoop/ozone/lease/TestLeaseManager.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/common/src/test/java/org/apache/hadoop/ozone/lease/TestLeaseManager.java,Sunil G,Sunil G,1538736047,D,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-hdds/common/src/main/java/org/apache/hadoop/ozone/lease/LeaseManager.java,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/common/src/test/java/org/apache/hadoop/ozone/lock/TestLockManager.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/common/src/test/java/org/apache/hadoop/ozone/lock/TestLockManager.java,Sunil G,Sunil G,1538736047,D,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-hdds/common/src/main/java/org/apache/hadoop/ozone/lock/LockManager.java,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/common/src/test/java/org/apache/hadoop/utils/TestHddsIdFactory.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/common/src/test/java/org/apache/hadoop/utils/TestHddsIdFactory.java,Sunil G,Sunil G,1538736047,D,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-hdds/common/src/main/java/org/apache/hadoop/hdds/HddsIdFactory.java,
