App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
hadoop,0_e60b797c88541f94cecc7fdbcaad010c4742cfdb_TestHttpFSServer.java,/hdd/dj/testSmellDetection/data/hadoop/4_18_2017_TO_10_18_2017//files//0_e60b797c88541f94cecc7fdbcaad010c4742cfdb_TestHttpFSServer.java,/hdd/dj/testSmellDetection/data/hadoop/4_18_2017_TO_10_18_2017//files//0_e60b797c88541f94cecc7fdbcaad010c4742cfdb_HttpFSServer.java,4_18_2017_TO_10_18_2017//files//0_e60b797c88541f94cecc7fdbcaad010c4742cfdb_TestHttpFSServer.java,4_18_2017_TO_10_18_2017//files//0_e60b797c88541f94cecc7fdbcaad010c4742cfdb_HttpFSServer.java,16,0,0,0,0,23,0,0,0,0,0,0,0,0,0,9,3,0,0,4,0
hadoop,0_396ce0d9f470a5e8af03987ad6396d0f08b3d225_TestHttpFSServer.java,/hdd/dj/testSmellDetection/data/hadoop/4_18_2017_TO_10_18_2017/files/0_396ce0d9f470a5e8af03987ad6396d0f08b3d225_TestHttpFSServer.java,/hdd/dj/testSmellDetection/data/hadoop/4_18_2017_TO_10_18_2017/files/0_396ce0d9f470a5e8af03987ad6396d0f08b3d225_HttpFSServer.java,4_18_2017_TO_10_18_2017/files/0_396ce0d9f470a5e8af03987ad6396d0f08b3d225_TestHttpFSServer.java,4_18_2017_TO_10_18_2017/files/0_396ce0d9f470a5e8af03987ad6396d0f08b3d225_HttpFSServer.java,17,0,0,0,0,25,0,0,0,0,0,0,0,0,0,9,3,0,0,4,0
hadoop,1_619e490333fa89601fd476dedac6d16610e9a52a_TestContainerPersistence.java,/hdd/dj/testSmellDetection/data/hadoop/4_18_2017_TO_10_18_2017//files//1_619e490333fa89601fd476dedac6d16610e9a52a_TestContainerPersistence.java,,4_18_2017_TO_10_18_2017//files//1_619e490333fa89601fd476dedac6d16610e9a52a_TestContainerPersistence.java,,11,7,0,0,0,17,17,1,0,0,1,0,1,,,1,4,0,3,4,0
hadoop,1_7fb91b8a534eaeda55c2de120a7d23f9c90d265b_TestContainerPersistence.java,/hdd/dj/testSmellDetection/data/hadoop/4_18_2017_TO_10_18_2017/files/1_7fb91b8a534eaeda55c2de120a7d23f9c90d265b_TestContainerPersistence.java,,4_18_2017_TO_10_18_2017/files/1_7fb91b8a534eaeda55c2de120a7d23f9c90d265b_TestContainerPersistence.java,,11,7,0,0,0,17,17,1,0,0,1,0,1,,,1,4,0,3,4,0
hadoop,2_7fb91b8a534eaeda55c2de120a7d23f9c90d265b_TestOzoneManagerLock.java,/hdd/dj/testSmellDetection/data/hadoop/4_18_2017_TO_10_18_2017//files//2_7fb91b8a534eaeda55c2de120a7d23f9c90d265b_TestOzoneManagerLock.java,/hdd/dj/testSmellDetection/data/hadoop/4_18_2017_TO_10_18_2017//files//2_7fb91b8a534eaeda55c2de120a7d23f9c90d265b_OzoneManagerLock.java,4_18_2017_TO_10_18_2017//files//2_7fb91b8a534eaeda55c2de120a7d23f9c90d265b_TestOzoneManagerLock.java,4_18_2017_TO_10_18_2017//files//2_7fb91b8a534eaeda55c2de120a7d23f9c90d265b_OzoneManagerLock.java,5,0,0,0,0,5,0,0,0,8,0,0,3,11,44,0,0,0,0,0,0
hadoop,2_e6b77ad65f923858fb67f5c2165fefe52d6f8c17_TestOzoneManagerLock.java,/hdd/dj/testSmellDetection/data/hadoop/4_18_2017_TO_10_18_2017/files/2_e6b77ad65f923858fb67f5c2165fefe52d6f8c17_TestOzoneManagerLock.java,/hdd/dj/testSmellDetection/data/hadoop/4_18_2017_TO_10_18_2017/files/2_e6b77ad65f923858fb67f5c2165fefe52d6f8c17_OzoneManagerLock.java,4_18_2017_TO_10_18_2017/files/2_e6b77ad65f923858fb67f5c2165fefe52d6f8c17_TestOzoneManagerLock.java,4_18_2017_TO_10_18_2017/files/2_e6b77ad65f923858fb67f5c2165fefe52d6f8c17_OzoneManagerLock.java,5,0,0,0,0,5,0,0,0,8,0,0,3,11,44,0,0,0,0,0,0
hadoop,3_e6b77ad65f923858fb67f5c2165fefe52d6f8c17_TestS3BucketManager.java,/hdd/dj/testSmellDetection/data/hadoop/4_18_2017_TO_10_18_2017/files/3_e6b77ad65f923858fb67f5c2165fefe52d6f8c17_TestS3BucketManager.java,,4_18_2017_TO_10_18_2017/files/3_e6b77ad65f923858fb67f5c2165fefe52d6f8c17_TestS3BucketManager.java,,3,0,0,0,0,4,0,0,0,0,0,0,0,,,0,1,0,0,0,0
hadoop,4_83b9b25c5136bfb99477b1142af22cb4a4b36be5_TestOzoneAcls.java,/hdd/dj/testSmellDetection/data/hadoop/4_18_2017_TO_10_18_2017//files//4_83b9b25c5136bfb99477b1142af22cb4a4b36be5_TestOzoneAcls.java,,4_18_2017_TO_10_18_2017//files//4_83b9b25c5136bfb99477b1142af22cb4a4b36be5_TestOzoneAcls.java,,1,1,0,0,0,1,0,0,0,0,0,0,0,,,1,0,0,0,0,0
hadoop,5_83b9b25c5136bfb99477b1142af22cb4a4b36be5_TestOzoneAuditLogger.java,/hdd/dj/testSmellDetection/data/hadoop/4_18_2017_TO_10_18_2017//files//5_83b9b25c5136bfb99477b1142af22cb4a4b36be5_TestOzoneAuditLogger.java,,4_18_2017_TO_10_18_2017//files//5_83b9b25c5136bfb99477b1142af22cb4a4b36be5_TestOzoneAuditLogger.java,,0,0,0,0,0,3,0,0,0,0,0,0,0,,,0,3,0,0,0,0
hadoop,6_83b9b25c5136bfb99477b1142af22cb4a4b36be5_TestStateMachine.java,/hdd/dj/testSmellDetection/data/hadoop/4_18_2017_TO_10_18_2017//files//6_83b9b25c5136bfb99477b1142af22cb4a4b36be5_TestStateMachine.java,/hdd/dj/testSmellDetection/data/hadoop/4_18_2017_TO_10_18_2017//files//6_83b9b25c5136bfb99477b1142af22cb4a4b36be5_StateMachine.java,4_18_2017_TO_10_18_2017//files//6_83b9b25c5136bfb99477b1142af22cb4a4b36be5_TestStateMachine.java,4_18_2017_TO_10_18_2017//files//6_83b9b25c5136bfb99477b1142af22cb4a4b36be5_StateMachine.java,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
