App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
hive,0_c8a0cb006e7865c70e60a56db85e981a7b7d92d4_TestJdbcDriver2.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14//files//0_c8a0cb006e7865c70e60a56db85e981a7b7d92d4_TestJdbcDriver2.java,,2017-01-14_TO_2017-07-14//files//0_c8a0cb006e7865c70e60a56db85e981a7b7d92d4_TestJdbcDriver2.java,,38,15,0,0,0,84,0,0,4,0,4,1,0,,,14,31,2,0,31,0
hive,0_566788696d2b3f71a9381da1fa7b29e547162175_TestJdbcDriver2.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14/files/0_566788696d2b3f71a9381da1fa7b29e547162175_TestJdbcDriver2.java,,2017-01-14_TO_2017-07-14/files/0_566788696d2b3f71a9381da1fa7b29e547162175_TestJdbcDriver2.java,,38,15,0,0,0,84,0,0,4,0,4,1,0,,,14,31,2,0,31,0
hive,1_ec82b84f309119121dc55aa84c1b9b70e7a0c334_TestReplicationScenarios.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14//files//1_ec82b84f309119121dc55aa84c1b9b70e7a0c334_TestReplicationScenarios.java,,2017-01-14_TO_2017-07-14//files//1_ec82b84f309119121dc55aa84c1b9b70e7a0c334_TestReplicationScenarios.java,,2,1,0,0,0,5,0,0,0,0,0,0,0,,,2,3,0,0,0,0
hive,1_7d2fb003adc23601f6fb3fc2392d8283c9005a0b_TestReplicationScenarios.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14/files/1_7d2fb003adc23601f6fb3fc2392d8283c9005a0b_TestReplicationScenarios.java,,2017-01-14_TO_2017-07-14/files/1_7d2fb003adc23601f6fb3fc2392d8283c9005a0b_TestReplicationScenarios.java,,3,1,0,0,0,6,0,0,0,0,0,0,0,,,2,3,0,0,0,0
hive,2_8ff096548d0f94f9abb5361cce9539e71613e5d8_TestHiveSchemaTool.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14/files/2_8ff096548d0f94f9abb5361cce9539e71613e5d8_TestHiveSchemaTool.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14/files/2_8ff096548d0f94f9abb5361cce9539e71613e5d8_HiveSchemaTool.java,2017-01-14_TO_2017-07-14/files/2_8ff096548d0f94f9abb5361cce9539e71613e5d8_TestHiveSchemaTool.java,2017-01-14_TO_2017-07-14/files/2_8ff096548d0f94f9abb5361cce9539e71613e5d8_HiveSchemaTool.java,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hive,3_ffeb6c87c793a70e030108d5ee951e63cd5fd67d_TestHiveSchemaTool.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14//files//3_ffeb6c87c793a70e030108d5ee951e63cd5fd67d_TestHiveSchemaTool.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14//files//3_ffeb6c87c793a70e030108d5ee951e63cd5fd67d_HiveSchemaTool.java,2017-01-14_TO_2017-07-14//files//3_ffeb6c87c793a70e030108d5ee951e63cd5fd67d_TestHiveSchemaTool.java,2017-01-14_TO_2017-07-14//files//3_ffeb6c87c793a70e030108d5ee951e63cd5fd67d_HiveSchemaTool.java,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hive,4_65a65826a0d351a3d918bdb98595bdd106d37adb_TestFairSchedulerQueueAllocator.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14//files//4_65a65826a0d351a3d918bdb98595bdd106d37adb_TestFairSchedulerQueueAllocator.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14//files//4_65a65826a0d351a3d918bdb98595bdd106d37adb_FairSchedulerQueueAllocator.java,2017-01-14_TO_2017-07-14//files//4_65a65826a0d351a3d918bdb98595bdd106d37adb_TestFairSchedulerQueueAllocator.java,2017-01-14_TO_2017-07-14//files//4_65a65826a0d351a3d918bdb98595bdd106d37adb_FairSchedulerQueueAllocator.java,1,3,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
hive,5_c9f81d22d81b72fea70f91b5e8b0430a9fd398c3_TestDruidSerDe.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14//files//5_c9f81d22d81b72fea70f91b5e8b0430a9fd398c3_TestDruidSerDe.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14//files//5_c9f81d22d81b72fea70f91b5e8b0430a9fd398c3_DruidSerDe.java,2017-01-14_TO_2017-07-14//files//5_c9f81d22d81b72fea70f91b5e8b0430a9fd398c3_TestDruidSerDe.java,2017-01-14_TO_2017-07-14//files//5_c9f81d22d81b72fea70f91b5e8b0430a9fd398c3_DruidSerDe.java,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hive,5_3ca3e4e6102de391d1d7b72838086c9e324f0358_TestDruidSerDe.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14/files/5_3ca3e4e6102de391d1d7b72838086c9e324f0358_TestDruidSerDe.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14/files/5_3ca3e4e6102de391d1d7b72838086c9e324f0358_DruidSerDe.java,2017-01-14_TO_2017-07-14/files/5_3ca3e4e6102de391d1d7b72838086c9e324f0358_TestDruidSerDe.java,2017-01-14_TO_2017-07-14/files/5_3ca3e4e6102de391d1d7b72838086c9e324f0358_DruidSerDe.java,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
hive,6_8138eaa2084879315f2756ed9b5d7c90ba4e9403_TestRetriesInRetryingHMSHandler.java,/hdd/dj/testSmellDetection/data/hive/2017-01-14_TO_2017-07-14/files/6_8138eaa2084879315f2756ed9b5d7c90ba4e9403_TestRetriesInRetryingHMSHandler.java,,2017-01-14_TO_2017-07-14/files/6_8138eaa2084879315f2756ed9b5d7c90ba4e9403_TestRetriesInRetryingHMSHandler.java,,0,0,0,0,0,4,0,0,0,0,0,0,0,,,0,2,0,0,0,0
