App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
kafka,0_bb663d04febcadd4f120e0ff5c5919ca8bf7e971_KafkaConsumerTest.java,/hdd/dj/testSmellDetection/data/kafka/2017-04-27_TO_2017-10-27//files//0_bb663d04febcadd4f120e0ff5c5919ca8bf7e971_KafkaConsumerTest.java,/hdd/dj/testSmellDetection/data/kafka/2017-04-27_TO_2017-10-27//files//0_bb663d04febcadd4f120e0ff5c5919ca8bf7e971_KafkaConsumer.java,2017-04-27_TO_2017-10-27//files//0_bb663d04febcadd4f120e0ff5c5919ca8bf7e971_KafkaConsumerTest.java,2017-04-27_TO_2017-10-27//files//0_bb663d04febcadd4f120e0ff5c5919ca8bf7e971_KafkaConsumer.java,16,2,0,0,0,14,0,0,0,0,0,0,2,29,164,6,1,0,0,8,0
kafka,0_a82f194b21a6af2f52e36e55e2c6adcdba942c08_KafkaConsumerTest.java,/hdd/dj/testSmellDetection/data/kafka/2017-04-27_TO_2017-10-27/files/0_a82f194b21a6af2f52e36e55e2c6adcdba942c08_KafkaConsumerTest.java,/hdd/dj/testSmellDetection/data/kafka/2017-04-27_TO_2017-10-27/files/0_a82f194b21a6af2f52e36e55e2c6adcdba942c08_KafkaConsumer.java,2017-04-27_TO_2017-10-27/files/0_a82f194b21a6af2f52e36e55e2c6adcdba942c08_KafkaConsumerTest.java,2017-04-27_TO_2017-10-27/files/0_a82f194b21a6af2f52e36e55e2c6adcdba942c08_KafkaConsumer.java,16,2,0,0,0,14,0,0,0,0,0,0,2,29,164,6,1,0,0,8,0
kafka,1_bb663d04febcadd4f120e0ff5c5919ca8bf7e971_FetcherTest.java,/hdd/dj/testSmellDetection/data/kafka/2017-04-27_TO_2017-10-27//files//1_bb663d04febcadd4f120e0ff5c5919ca8bf7e971_FetcherTest.java,/hdd/dj/testSmellDetection/data/kafka/2017-04-27_TO_2017-10-27//files//1_bb663d04febcadd4f120e0ff5c5919ca8bf7e971_Fetcher.java,2017-04-27_TO_2017-10-27//files//1_bb663d04febcadd4f120e0ff5c5919ca8bf7e971_FetcherTest.java,2017-04-27_TO_2017-10-27//files//1_bb663d04febcadd4f120e0ff5c5919ca8bf7e971_Fetcher.java,37,9,0,0,0,11,47,0,0,0,0,0,0,22,80,3,0,1,0,37,0
kafka,1_a82f194b21a6af2f52e36e55e2c6adcdba942c08_FetcherTest.java,/hdd/dj/testSmellDetection/data/kafka/2017-04-27_TO_2017-10-27/files/1_a82f194b21a6af2f52e36e55e2c6adcdba942c08_FetcherTest.java,/hdd/dj/testSmellDetection/data/kafka/2017-04-27_TO_2017-10-27/files/1_a82f194b21a6af2f52e36e55e2c6adcdba942c08_Fetcher.java,2017-04-27_TO_2017-10-27/files/1_a82f194b21a6af2f52e36e55e2c6adcdba942c08_FetcherTest.java,2017-04-27_TO_2017-10-27/files/1_a82f194b21a6af2f52e36e55e2c6adcdba942c08_Fetcher.java,43,11,0,0,0,11,53,0,0,0,0,0,0,28,104,3,0,1,0,43,0
kafka,2_bb663d04febcadd4f120e0ff5c5919ca8bf7e971_RecordAccumulatorTest.java,/hdd/dj/testSmellDetection/data/kafka/2017-04-27_TO_2017-10-27//files//2_bb663d04febcadd4f120e0ff5c5919ca8bf7e971_RecordAccumulatorTest.java,/hdd/dj/testSmellDetection/data/kafka/2017-04-27_TO_2017-10-27//files//2_bb663d04febcadd4f120e0ff5c5919ca8bf7e971_RecordAccumulator.java,2017-04-27_TO_2017-10-27//files//2_bb663d04febcadd4f120e0ff5c5919ca8bf7e971_RecordAccumulatorTest.java,2017-04-27_TO_2017-10-27//files//2_bb663d04febcadd4f120e0ff5c5919ca8bf7e971_RecordAccumulator.java,7,9,0,0,0,14,0,0,0,0,0,0,0,13,82,3,1,0,0,11,0
kafka,2_a82f194b21a6af2f52e36e55e2c6adcdba942c08_RecordAccumulatorTest.java,/hdd/dj/testSmellDetection/data/kafka/2017-04-27_TO_2017-10-27/files/2_a82f194b21a6af2f52e36e55e2c6adcdba942c08_RecordAccumulatorTest.java,/hdd/dj/testSmellDetection/data/kafka/2017-04-27_TO_2017-10-27/files/2_a82f194b21a6af2f52e36e55e2c6adcdba942c08_RecordAccumulator.java,2017-04-27_TO_2017-10-27/files/2_a82f194b21a6af2f52e36e55e2c6adcdba942c08_RecordAccumulatorTest.java,2017-04-27_TO_2017-10-27/files/2_a82f194b21a6af2f52e36e55e2c6adcdba942c08_RecordAccumulator.java,7,9,0,0,0,14,0,0,0,0,0,0,0,13,82,3,1,0,0,11,0
kafka,3_bb663d04febcadd4f120e0ff5c5919ca8bf7e971_SenderTest.java,/hdd/dj/testSmellDetection/data/kafka/2017-04-27_TO_2017-10-27//files//3_bb663d04febcadd4f120e0ff5c5919ca8bf7e971_SenderTest.java,/hdd/dj/testSmellDetection/data/kafka/2017-04-27_TO_2017-10-27//files//3_bb663d04febcadd4f120e0ff5c5919ca8bf7e971_Sender.java,2017-04-27_TO_2017-10-27//files//3_bb663d04febcadd4f120e0ff5c5919ca8bf7e971_SenderTest.java,2017-04-27_TO_2017-10-27//files//3_bb663d04febcadd4f120e0ff5c5919ca8bf7e971_Sender.java,9,2,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0
kafka,3_a82f194b21a6af2f52e36e55e2c6adcdba942c08_SenderTest.java,/hdd/dj/testSmellDetection/data/kafka/2017-04-27_TO_2017-10-27/files/3_a82f194b21a6af2f52e36e55e2c6adcdba942c08_SenderTest.java,/hdd/dj/testSmellDetection/data/kafka/2017-04-27_TO_2017-10-27/files/3_a82f194b21a6af2f52e36e55e2c6adcdba942c08_Sender.java,2017-04-27_TO_2017-10-27/files/3_a82f194b21a6af2f52e36e55e2c6adcdba942c08_SenderTest.java,2017-04-27_TO_2017-10-27/files/3_a82f194b21a6af2f52e36e55e2c6adcdba942c08_Sender.java,9,2,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0
kafka,4_a82f194b21a6af2f52e36e55e2c6adcdba942c08_TransactionManagerTest.java,/hdd/dj/testSmellDetection/data/kafka/2017-04-27_TO_2017-10-27/files/4_a82f194b21a6af2f52e36e55e2c6adcdba942c08_TransactionManagerTest.java,/hdd/dj/testSmellDetection/data/kafka/2017-04-27_TO_2017-10-27/files/4_a82f194b21a6af2f52e36e55e2c6adcdba942c08_TransactionManager.java,2017-04-27_TO_2017-10-27/files/4_a82f194b21a6af2f52e36e55e2c6adcdba942c08_TransactionManagerTest.java,2017-04-27_TO_2017-10-27/files/4_a82f194b21a6af2f52e36e55e2c6adcdba942c08_TransactionManager.java,8,0,0,0,0,5,0,0,0,0,0,0,0,6,33,5,0,0,0,2,0
kafka,5_bb663d04febcadd4f120e0ff5c5919ca8bf7e971_TransactionStateTest.java,/hdd/dj/testSmellDetection/data/kafka/2017-04-27_TO_2017-10-27//files//5_bb663d04febcadd4f120e0ff5c5919ca8bf7e971_TransactionStateTest.java,/hdd/dj/testSmellDetection/data/kafka/2017-04-27_TO_2017-10-27//files//5_bb663d04febcadd4f120e0ff5c5919ca8bf7e971_TransactionState.java,2017-04-27_TO_2017-10-27//files//5_bb663d04febcadd4f120e0ff5c5919ca8bf7e971_TransactionStateTest.java,2017-04-27_TO_2017-10-27//files//5_bb663d04febcadd4f120e0ff5c5919ca8bf7e971_TransactionState.java,2,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0,0,2,0
