,parent_commit,parent_test_file,current_commit,current_test_file,committer,committed_date,change_type,parent_prod_file,current_prod_file,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
0,,,d40d0074a3968b004d479afefcb5147e945460e9,itests/src/test/java/org/apache/karaf/itests/features/XATest.java,Guillaume Nodet,1504080554,A,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,e1f7aff434bbb548e7ddfbdbc1f284504224365c,shell/core/src/test/java/org/apache/karaf/shell/support/table/ShellTableTest.java,1bf1957447d45c528635b10b3ca46e6f9c93ee57,shell/core/src/test/java/org/apache/karaf/shell/support/table/ShellTableTest.java,VEINHORN,1504533969,M,/hdd/dj/testSmellDetection/gitRepo/karaf/shell/table/src/main/java/org/apache/karaf/shell/table/ShellTable.java,/hdd/dj/testSmellDetection/gitRepo/karaf/shell/table/src/main/java/org/apache/karaf/shell/table/ShellTable.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,da43894eb6a293cadb66adea6e73227b87e9272d,shell/core/src/test/java/org/apache/karaf/shell/support/table/ShellTableTest.java,94f550bd41b8f83cf89d25aad03074e1d12ce429,shell/core/src/test/java/org/apache/karaf/shell/support/table/ShellTableTest.java,Jean-Baptiste Onofré,1504541641,M,/hdd/dj/testSmellDetection/gitRepo/karaf/shell/table/src/main/java/org/apache/karaf/shell/table/ShellTable.java,/hdd/dj/testSmellDetection/gitRepo/karaf/shell/table/src/main/java/org/apache/karaf/shell/table/ShellTable.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,43aa7c39796deb2b3ff40941ae022ee89add1ff1,service/guard/src/test/java/org/apache/karaf/service/guard/impl/GuardProxyCatalogTest.java,716648f892d08048e99ac8c804a148a632d1df93,service/guard/src/test/java/org/apache/karaf/service/guard/impl/GuardProxyCatalogTest.java,Jean-Baptiste Onofré,1504628395,M,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,c570eb5c10ed943b19093bdbbb32fcd9ede4372d,maven/core/src/test/java/org/apache/karaf/maven/command/MavenConfigurationSupportTest.java,8ff96fdee0f5bb457c7098624e5640157bf41ecb,maven/core/src/test/java/org/apache/karaf/maven/command/MavenConfigurationSupportTest.java,Jean-Baptiste Onofré,1504671376,M,/hdd/dj/testSmellDetection/gitRepo/karaf/maven/core/src/main/java/org/apache/karaf/maven/command/MavenConfigurationSupport.java,/hdd/dj/testSmellDetection/gitRepo/karaf/maven/core/src/main/java/org/apache/karaf/maven/command/MavenConfigurationSupport.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,c570eb5c10ed943b19093bdbbb32fcd9ede4372d,service/guard/src/test/java/org/apache/karaf/service/guard/impl/GuardProxyCatalogTest.java,8ff96fdee0f5bb457c7098624e5640157bf41ecb,service/guard/src/test/java/org/apache/karaf/service/guard/impl/GuardProxyCatalogTest.java,Jean-Baptiste Onofré,1504671376,M,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,ac8080c278c1d9c55c98d92abe0ace06811fc7dc,itests/src/test/java/org/apache/karaf/itests/JmsTest.java,19b1c47cc7f2656153a7b765bfe6e9cc70e3d9a0,itests/src/test/java/org/apache/karaf/itests/JmsTest.java,Grzegorz Grzybek,1504770296,M,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,c5d3a882c1ce9f0ba57db9d3ac9aefdb65dec986,features/core/src/test/java/org/apache/karaf/features/AppendTest.java,2a32ba2e7438533d2387ecff88934a47091a6dbb,features/core/src/test/java/org/apache/karaf/features/AppendTest.java,Guillaume Nodet,1505113292,M,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,,,5228a23fc4113922cc9936c8d921a97cc2ea434d,shell/core/src/test/java/org/apache/karaf/shell/impl/action/command/ActionMaskingCallbackTest.java,Guillaume Nodet,1505236536,A,,/hdd/dj/testSmellDetection/gitRepo/karaf/shell/core/src/main/java/org/apache/karaf/shell/impl/action/command/ActionMaskingCallback.java,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,83727d913c4feb4a481d56baf60be487ae9491e1,features/core/src/test/java/org/apache/karaf/features/internal/service/BlacklistTest.java,1103f3de2c37539f7e2ee695c5bfe873ef47abc2,features/core/src/test/java/org/apache/karaf/features/internal/service/BlacklistTest.java,Guillaume Nodet,1505395667,M,/hdd/dj/testSmellDetection/gitRepo/karaf/features/core/src/main/java/org/apache/karaf/features/internal/service/Blacklist.java,/hdd/dj/testSmellDetection/gitRepo/karaf/features/core/src/main/java/org/apache/karaf/features/internal/service/Blacklist.java,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
