App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
karaf,0_e064d6a2effecf314d742166cbac34da587e5dc5_JmsTest.java,/hdd/dj/testSmellDetection/data/karaf/2018-05-26_TO_2018-11-26//files//0_e064d6a2effecf314d742166cbac34da587e5dc5_JmsTest.java,,2018-05-26_TO_2018-11-26//files//0_e064d6a2effecf314d742166cbac34da587e5dc5_JmsTest.java,,2,0,0,0,0,2,2,0,0,0,0,0,0,,,0,0,0,0,0,0
karaf,0_224aae43dc3b9303f8f69d0a876d500e06f98107_JmsTest.java,/hdd/dj/testSmellDetection/data/karaf/2018-05-26_TO_2018-11-26/files/0_224aae43dc3b9303f8f69d0a876d500e06f98107_JmsTest.java,,2018-05-26_TO_2018-11-26/files/0_224aae43dc3b9303f8f69d0a876d500e06f98107_JmsTest.java,,1,0,0,0,0,2,0,0,2,0,0,0,2,,,0,0,0,0,0,0
karaf,1_e064d6a2effecf314d742166cbac34da587e5dc5_XATest.java,/hdd/dj/testSmellDetection/data/karaf/2018-05-26_TO_2018-11-26//files//1_e064d6a2effecf314d742166cbac34da587e5dc5_XATest.java,,2018-05-26_TO_2018-11-26//files//1_e064d6a2effecf314d742166cbac34da587e5dc5_XATest.java,,0,0,0,0,0,1,0,0,1,0,0,0,1,,,0,0,0,0,0,0
karaf,1_224aae43dc3b9303f8f69d0a876d500e06f98107_XATest.java,/hdd/dj/testSmellDetection/data/karaf/2018-05-26_TO_2018-11-26/files/1_224aae43dc3b9303f8f69d0a876d500e06f98107_XATest.java,,2018-05-26_TO_2018-11-26/files/1_224aae43dc3b9303f8f69d0a876d500e06f98107_XATest.java,,0,0,0,0,0,1,0,0,1,0,0,0,1,,,0,0,0,0,0,0
karaf,2_0b107701c107621926ef6d2e8aa851d05726dc29_JmxFeatureTest.java,/hdd/dj/testSmellDetection/data/karaf/2018-05-26_TO_2018-11-26/files/2_0b107701c107621926ef6d2e8aa851d05726dc29_JmxFeatureTest.java,/hdd/dj/testSmellDetection/data/karaf/2018-05-26_TO_2018-11-26/files/2_0b107701c107621926ef6d2e8aa851d05726dc29_JmxFeature.java,2018-05-26_TO_2018-11-26/files/2_0b107701c107621926ef6d2e8aa851d05726dc29_JmxFeatureTest.java,2018-05-26_TO_2018-11-26/files/2_0b107701c107621926ef6d2e8aa851d05726dc29_JmxFeature.java,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
karaf,3_0b107701c107621926ef6d2e8aa851d05726dc29_JmxRepositoryTest.java,/hdd/dj/testSmellDetection/data/karaf/2018-05-26_TO_2018-11-26/files/3_0b107701c107621926ef6d2e8aa851d05726dc29_JmxRepositoryTest.java,/hdd/dj/testSmellDetection/data/karaf/2018-05-26_TO_2018-11-26/files/3_0b107701c107621926ef6d2e8aa851d05726dc29_JmxRepository.java,2018-05-26_TO_2018-11-26/files/3_0b107701c107621926ef6d2e8aa851d05726dc29_JmxRepositoryTest.java,2018-05-26_TO_2018-11-26/files/3_0b107701c107621926ef6d2e8aa851d05726dc29_JmxRepository.java,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
karaf,4_b28390013b83fd3c624f44f42b76422e5e3c0158_ConfigTest.java,/hdd/dj/testSmellDetection/data/karaf/2018-05-26_TO_2018-11-26//files//4_b28390013b83fd3c624f44f42b76422e5e3c0158_ConfigTest.java,,2018-05-26_TO_2018-11-26//files//4_b28390013b83fd3c624f44f42b76422e5e3c0158_ConfigTest.java,,2,0,0,0,0,2,0,0,1,0,0,0,0,,,1,0,0,0,0,0
karaf,4_a8b5c3b10a08f7e3d27d9eec460c2682cb1d1e7c_ConfigTest.java,/hdd/dj/testSmellDetection/data/karaf/2018-05-26_TO_2018-11-26/files/4_a8b5c3b10a08f7e3d27d9eec460c2682cb1d1e7c_ConfigTest.java,,2018-05-26_TO_2018-11-26/files/4_a8b5c3b10a08f7e3d27d9eec460c2682cb1d1e7c_ConfigTest.java,,2,0,0,0,0,3,0,0,2,0,0,0,0,,,1,0,0,0,0,0
karaf,5_5e176385dca1be947e2cba3755065104ce41bd30_ConfigTest.java,/hdd/dj/testSmellDetection/data/karaf/2018-05-26_TO_2018-11-26//files//5_5e176385dca1be947e2cba3755065104ce41bd30_ConfigTest.java,,2018-05-26_TO_2018-11-26//files//5_5e176385dca1be947e2cba3755065104ce41bd30_ConfigTest.java,,2,0,0,0,0,2,0,0,1,0,0,0,0,,,1,0,0,0,0,0
karaf,5_fdafa8c14050d648927800d05d79f59690b4ce22_ConfigTest.java,/hdd/dj/testSmellDetection/data/karaf/2018-05-26_TO_2018-11-26/files/5_fdafa8c14050d648927800d05d79f59690b4ce22_ConfigTest.java,,2018-05-26_TO_2018-11-26/files/5_fdafa8c14050d648927800d05d79f59690b4ce22_ConfigTest.java,,2,0,0,0,0,3,0,0,2,0,0,0,0,,,1,0,0,0,0,0
