parent_commit,parent_test_file,current_commit,current_test_file,committer,committed_date,change_type,parent_prod_file,current_prod_file
2273b397b5f348668fda3d7d8fb9f3806290a11d,wicket-core/src/test/java/org/apache/wicket/util/tester/TagTesterTest.java,86256b0ad8137f2afe4f124e92779aaa0f6c46e3,wicket-core/src/test/java/org/apache/wicket/util/tester/TagTesterTest.java,Sven Meier,1470563113,M,/hdd/dj/testSmellDetection/gitRepo/wicket/wicket-core/src/main/java/org/apache/wicket/util/tester/TagTester.java,/hdd/dj/testSmellDetection/gitRepo/wicket/wicket-core/src/main/java/org/apache/wicket/util/tester/TagTester.java
86256b0ad8137f2afe4f124e92779aaa0f6c46e3,wicket-core/src/test/java/org/apache/wicket/util/tester/TagTesterTest.java,e173e8c07a4bf2437a35bdb05fdfa1762ba8f590,wicket-core/src/test/java/org/apache/wicket/util/tester/TagTesterTest.java,Sven Meier,1470563113,M,/hdd/dj/testSmellDetection/gitRepo/wicket/wicket-core/src/main/java/org/apache/wicket/util/tester/TagTester.java,/hdd/dj/testSmellDetection/gitRepo/wicket/wicket-core/src/main/java/org/apache/wicket/util/tester/TagTester.java
,,9b3d644ac37a9b67f752ea48d1895f71a57aa92a,wicket-core/src/test/java/org/apache/wicket/behavior/AjaxCallbackUrlTest.java,Martin Tzvetanov Grigorov,1471265979,A,,
,,cf910b0317b60e55b5b9946c857d88102ee600b4,wicket-core/src/test/java/org/apache/wicket/behavior/AjaxCallbackUrlTest.java,Martin Tzvetanov Grigorov,1471266327,A,,
cf910b0317b60e55b5b9946c857d88102ee600b4,wicket-core/src/test/java/org/apache/wicket/markup/html/form/ButtonTest.java,f5cf5e8558861fa8fbcdcc25e37d71d76bacc209,wicket-core/src/test/java/org/apache/wicket/markup/html/form/ButtonTest.java,Martin Tzvetanov Grigorov,1471267574,M,/hdd/dj/testSmellDetection/gitRepo/wicket/wicket-core/src/main/java/org/apache/wicket/markup/html/form/Button.java,/hdd/dj/testSmellDetection/gitRepo/wicket/wicket-core/src/main/java/org/apache/wicket/markup/html/form/Button.java
9b3d644ac37a9b67f752ea48d1895f71a57aa92a,wicket-core/src/test/java/org/apache/wicket/markup/html/form/ButtonTest.java,9b321e38996b1cffef5ef00aa5592277d14afab6,wicket-core/src/test/java/org/apache/wicket/markup/html/form/ButtonTest.java,Martin Tzvetanov Grigorov,1471267701,M,/hdd/dj/testSmellDetection/gitRepo/wicket/wicket-core/src/main/java/org/apache/wicket/markup/html/form/Button.java,/hdd/dj/testSmellDetection/gitRepo/wicket/wicket-core/src/main/java/org/apache/wicket/markup/html/form/Button.java
f50c13de5f9de3c6df77ae72f8b6e57bed615c24,wicket-core/src/test/java/org/apache/wicket/markup/html/form/ButtonTest.java,b591b255743bec37ef5ddf640755e234fdcd703d,wicket-core/src/test/java/org/apache/wicket/markup/html/form/ButtonTest.java,Martin Tzvetanov Grigorov,1471267964,M,/hdd/dj/testSmellDetection/gitRepo/wicket/wicket-core/src/main/java/org/apache/wicket/markup/html/form/Button.java,/hdd/dj/testSmellDetection/gitRepo/wicket/wicket-core/src/main/java/org/apache/wicket/markup/html/form/Button.java
9b321e38996b1cffef5ef00aa5592277d14afab6,wicket-core/src/test/java/org/apache/wicket/markup/html/form/ButtonTest.java,73ff3da38f34c8781ae367b0be54463d78abd47f,wicket-core/src/test/java/org/apache/wicket/markup/html/form/ButtonTest.java,Martin Tzvetanov Grigorov,1471271346,M,/hdd/dj/testSmellDetection/gitRepo/wicket/wicket-core/src/main/java/org/apache/wicket/markup/html/form/Button.java,/hdd/dj/testSmellDetection/gitRepo/wicket/wicket-core/src/main/java/org/apache/wicket/markup/html/form/Button.java
f5cf5e8558861fa8fbcdcc25e37d71d76bacc209,wicket-core/src/test/java/org/apache/wicket/markup/html/form/ButtonTest.java,b8d6c23c662912a358b4da2da9828ddbbbe1cba2,wicket-core/src/test/java/org/apache/wicket/markup/html/form/ButtonTest.java,Martin Tzvetanov Grigorov,1471271433,M,/hdd/dj/testSmellDetection/gitRepo/wicket/wicket-core/src/main/java/org/apache/wicket/markup/html/form/Button.java,/hdd/dj/testSmellDetection/gitRepo/wicket/wicket-core/src/main/java/org/apache/wicket/markup/html/form/Button.java
b591b255743bec37ef5ddf640755e234fdcd703d,wicket-core/src/test/java/org/apache/wicket/markup/html/form/ButtonTest.java,fb0d87b7a06d54fbb1515a58ff50857b3c01c4b6,wicket-core/src/test/java/org/apache/wicket/markup/html/form/ButtonTest.java,Martin Tzvetanov Grigorov,1471271581,M,/hdd/dj/testSmellDetection/gitRepo/wicket/wicket-core/src/main/java/org/apache/wicket/markup/html/form/Button.java,/hdd/dj/testSmellDetection/gitRepo/wicket/wicket-core/src/main/java/org/apache/wicket/markup/html/form/Button.java
