,parent_commit,parent_test_file,current_commit,current_test_file,committer,committed_date,change_type,parent_prod_file,current_prod_file,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
0,796255d77d22742760e80b0ebc136fafddbbe3bb,wicket-core/src/test/java/org/apache/wicket/model/LoadableDetachableModelTest.java,6045149e004efd6073e660473b69f8e0f82cae7a,wicket-core/src/test/java/org/apache/wicket/model/LoadableDetachableModelTest.java,Martijn Dashorst,1474983775,M,/hdd/dj/testSmellDetection/gitRepo/wicket/wicket-core/src/main/java/org/apache/wicket/model/LoadableDetachableModel.java,/hdd/dj/testSmellDetection/gitRepo/wicket/wicket-core/src/main/java/org/apache/wicket/model/LoadableDetachableModel.java,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1f801ba7e829d4094b964962fee9b79f090b5e1a,wicket-core/src/test/java/org/apache/wicket/model/LoadableDetachableModelTest.java,165faa3f73df4a2e2c13b51b958f05e4d820d3b6,wicket-core/src/test/java/org/apache/wicket/model/LoadableDetachableModelTest.java,Martijn Dashorst,1474983926,M,/hdd/dj/testSmellDetection/gitRepo/wicket/wicket-core/src/main/java/org/apache/wicket/model/LoadableDetachableModel.java,/hdd/dj/testSmellDetection/gitRepo/wicket/wicket-core/src/main/java/org/apache/wicket/model/LoadableDetachableModel.java,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2,c5bb610cc4da9527be926b93d6c6dad6c86c80ce,wicket-cdi-1.1/src/test/java/org/apache/wicket/cdi/ConversationPropagatorTest.java,48e39e9ac375f22c36d778ed152b8bd10afd477b,wicket-cdi-1.1/src/test/java/org/apache/wicket/cdi/ConversationPropagatorTest.java,Pedro Henrique Oliveira dos Santos,1477022130,M,/hdd/dj/testSmellDetection/gitRepo/wicket/wicket-cdi-1.1/src/main/java/org/apache/wicket/cdi/ConversationPropagator.java,/hdd/dj/testSmellDetection/gitRepo/wicket/wicket-cdi-1.1/src/main/java/org/apache/wicket/cdi/ConversationPropagator.java,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,c5bb610cc4da9527be926b93d6c6dad6c86c80ce,wicket-cdi-1.1/src/test/java/org/apache/wicket/cdi/testapp/TestConversationPage.java,48e39e9ac375f22c36d778ed152b8bd10afd477b,wicket-cdi-1.1/src/test/java/org/apache/wicket/cdi/testapp/TestConversationPage.java,Pedro Henrique Oliveira dos Santos,1477022130,M,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12d096ccc59aafa6d40eeeb8c40108ce24d1ee2d,wicket-core/src/test/java/org/apache/wicket/markup/html/autocomponent/AutocomponetsGenerationTest.java,ebc503324c8eabdf57d70c9294cf03d0f559564a,wicket-core/src/test/java/org/apache/wicket/markup/html/autocomponent/AutocomponetsGenerationTest.java,Andrea Del Bene,1477498773,M,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,,,ebc503324c8eabdf57d70c9294cf03d0f559564a,wicket-core/src/test/java/org/apache/wicket/markup/html/autocomponent/UniqueIdTest.java,Andrea Del Bene,1477498773,A,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,41c47a44eb1210ec672f0cbf3c30ce7ba775f2b6,wicket-core/src/test/java/org/apache/wicket/markup/html/autocomponent/AutocomponetsGenerationTest.java,af9c68181fbb31c1f4e5bf9e12a13b838cc014de,wicket-core/src/test/java/org/apache/wicket/markup/html/autocomponent/AutocomponetsGenerationTest.java,Andrea Del Bene,1477564612,M,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,,,af9c68181fbb31c1f4e5bf9e12a13b838cc014de,wicket-core/src/test/java/org/apache/wicket/markup/html/autocomponent/UniqueIdTest.java,Andrea Del Bene,1477564612,A,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,a24e12c174d6f5bbdb4c91a3dbdf4d67f71546b5,wicket-core/src/test/java/org/apache/wicket/protocol/http/WebApplicationTest.java,52d24e8fb1f5df9ae1157890c9ace7bcca89f6c1,wicket-core/src/test/java/org/apache/wicket/protocol/http/WebApplicationTest.java,Sven Meier,1477920784,M,/hdd/dj/testSmellDetection/gitRepo/wicket/wicket-core/src/main/java/org/apache/wicket/protocol/http/WebApplication.java,/hdd/dj/testSmellDetection/gitRepo/wicket/wicket-core/src/main/java/org/apache/wicket/protocol/http/WebApplication.java,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3e765bae3773b5da370cdf4ed1dd590c95f7ed9d,wicket-core/src/test/java/org/apache/wicket/protocol/http/WebApplicationTest.java,4e15acc29fdb3e41f239669a8eafe54115e68263,wicket-core/src/test/java/org/apache/wicket/protocol/http/WebApplicationTest.java,Sven Meier,1477920937,M,/hdd/dj/testSmellDetection/gitRepo/wicket/wicket-core/src/main/java/org/apache/wicket/protocol/http/WebApplication.java,/hdd/dj/testSmellDetection/gitRepo/wicket/wicket-core/src/main/java/org/apache/wicket/protocol/http/WebApplication.java,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
