App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
wicket,0_1ec36a2e7efcd87655aedcffbc98d364960db0d9_PageProviderTest.java,/hdd/dj/testSmellDetection/data/wicket/2017-02-07_TO_2017-08-07//files//0_1ec36a2e7efcd87655aedcffbc98d364960db0d9_PageProviderTest.java,/hdd/dj/testSmellDetection/data/wicket/2017-02-07_TO_2017-08-07//files//0_1ec36a2e7efcd87655aedcffbc98d364960db0d9_PageProvider.java,2017-02-07_TO_2017-08-07//files//0_1ec36a2e7efcd87655aedcffbc98d364960db0d9_PageProviderTest.java,2017-02-07_TO_2017-08-07//files//0_1ec36a2e7efcd87655aedcffbc98d364960db0d9_PageProvider.java,7,0,0,0,0,4,0,0,0,1,0,0,0,6,19,0,0,0,0,0,0
wicket,0_0afd78c43409ec38428b4ab100547ac018913804_PageProviderTest.java,/hdd/dj/testSmellDetection/data/wicket/2017-02-07_TO_2017-08-07/files/0_0afd78c43409ec38428b4ab100547ac018913804_PageProviderTest.java,/hdd/dj/testSmellDetection/data/wicket/2017-02-07_TO_2017-08-07/files/0_0afd78c43409ec38428b4ab100547ac018913804_PageProvider.java,2017-02-07_TO_2017-08-07/files/0_0afd78c43409ec38428b4ab100547ac018913804_PageProviderTest.java,2017-02-07_TO_2017-08-07/files/0_0afd78c43409ec38428b4ab100547ac018913804_PageProvider.java,7,0,0,0,0,3,0,0,0,1,0,0,0,6,19,1,0,0,0,0,0
wicket,1_a4a2ac6ef5d9904dad0b2e510f0bf92cacd761fd_AbstractPropertyModelObjectClassTest.java,/hdd/dj/testSmellDetection/data/wicket/2017-02-07_TO_2017-08-07//files//1_a4a2ac6ef5d9904dad0b2e510f0bf92cacd761fd_AbstractPropertyModelObjectClassTest.java,,2017-02-07_TO_2017-08-07//files//1_a4a2ac6ef5d9904dad0b2e510f0bf92cacd761fd_AbstractPropertyModelObjectClassTest.java,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
wicket,1_3a6db1bf7bd5de41299532cc1a6b73b3ff582516_AbstractPropertyModelObjectClassTest.java,/hdd/dj/testSmellDetection/data/wicket/2017-02-07_TO_2017-08-07/files/1_3a6db1bf7bd5de41299532cc1a6b73b3ff582516_AbstractPropertyModelObjectClassTest.java,,2017-02-07_TO_2017-08-07/files/1_3a6db1bf7bd5de41299532cc1a6b73b3ff582516_AbstractPropertyModelObjectClassTest.java,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0
wicket,2_a4a2ac6ef5d9904dad0b2e510f0bf92cacd761fd_PropertyModelWithListTest.java,/hdd/dj/testSmellDetection/data/wicket/2017-02-07_TO_2017-08-07//files//2_a4a2ac6ef5d9904dad0b2e510f0bf92cacd761fd_PropertyModelWithListTest.java,,2017-02-07_TO_2017-08-07//files//2_a4a2ac6ef5d9904dad0b2e510f0bf92cacd761fd_PropertyModelWithListTest.java,,0,0,0,0,0,3,0,0,0,0,0,0,0,,,0,0,0,0,0,0
wicket,2_3a6db1bf7bd5de41299532cc1a6b73b3ff582516_PropertyModelWithListTest.java,/hdd/dj/testSmellDetection/data/wicket/2017-02-07_TO_2017-08-07/files/2_3a6db1bf7bd5de41299532cc1a6b73b3ff582516_PropertyModelWithListTest.java,,2017-02-07_TO_2017-08-07/files/2_3a6db1bf7bd5de41299532cc1a6b73b3ff582516_PropertyModelWithListTest.java,,0,0,0,0,0,3,0,0,0,0,0,0,0,,,0,0,0,0,0,0
wicket,3_a4a2ac6ef5d9904dad0b2e510f0bf92cacd761fd_PropertyVariableInterpolatorTest.java,/hdd/dj/testSmellDetection/data/wicket/2017-02-07_TO_2017-08-07//files//3_a4a2ac6ef5d9904dad0b2e510f0bf92cacd761fd_PropertyVariableInterpolatorTest.java,/hdd/dj/testSmellDetection/data/wicket/2017-02-07_TO_2017-08-07//files//3_a4a2ac6ef5d9904dad0b2e510f0bf92cacd761fd_PropertyVariableInterpolator.java,2017-02-07_TO_2017-08-07//files//3_a4a2ac6ef5d9904dad0b2e510f0bf92cacd761fd_PropertyVariableInterpolatorTest.java,2017-02-07_TO_2017-08-07//files//3_a4a2ac6ef5d9904dad0b2e510f0bf92cacd761fd_PropertyVariableInterpolator.java,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
wicket,3_3a6db1bf7bd5de41299532cc1a6b73b3ff582516_PropertyVariableInterpolatorTest.java,/hdd/dj/testSmellDetection/data/wicket/2017-02-07_TO_2017-08-07/files/3_3a6db1bf7bd5de41299532cc1a6b73b3ff582516_PropertyVariableInterpolatorTest.java,/hdd/dj/testSmellDetection/data/wicket/2017-02-07_TO_2017-08-07/files/3_3a6db1bf7bd5de41299532cc1a6b73b3ff582516_PropertyVariableInterpolator.java,2017-02-07_TO_2017-08-07/files/3_3a6db1bf7bd5de41299532cc1a6b73b3ff582516_PropertyVariableInterpolatorTest.java,2017-02-07_TO_2017-08-07/files/3_3a6db1bf7bd5de41299532cc1a6b73b3ff582516_PropertyVariableInterpolator.java,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
wicket,4_2ffd587dea4c5e1edec0853f35a9b5761e391917_AsyncPageStoreTest.java,/hdd/dj/testSmellDetection/data/wicket/2017-02-07_TO_2017-08-07/files/4_2ffd587dea4c5e1edec0853f35a9b5761e391917_AsyncPageStoreTest.java,/hdd/dj/testSmellDetection/data/wicket/2017-02-07_TO_2017-08-07/files/4_2ffd587dea4c5e1edec0853f35a9b5761e391917_AsyncPageStore.java,2017-02-07_TO_2017-08-07/files/4_2ffd587dea4c5e1edec0853f35a9b5761e391917_AsyncPageStoreTest.java,2017-02-07_TO_2017-08-07/files/4_2ffd587dea4c5e1edec0853f35a9b5761e391917_AsyncPageStore.java,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
wicket,5_3a6db1bf7bd5de41299532cc1a6b73b3ff582516_OGNLPropertyExpressionResolverTest.java,/hdd/dj/testSmellDetection/data/wicket/2017-02-07_TO_2017-08-07//files//5_3a6db1bf7bd5de41299532cc1a6b73b3ff582516_OGNLPropertyExpressionResolverTest.java,/hdd/dj/testSmellDetection/data/wicket/2017-02-07_TO_2017-08-07//files//5_3a6db1bf7bd5de41299532cc1a6b73b3ff582516_OGNLPropertyExpressionResolver.java,2017-02-07_TO_2017-08-07//files//5_3a6db1bf7bd5de41299532cc1a6b73b3ff582516_OGNLPropertyExpressionResolverTest.java,2017-02-07_TO_2017-08-07//files//5_3a6db1bf7bd5de41299532cc1a6b73b3ff582516_OGNLPropertyExpressionResolver.java,22,0,0,0,0,28,6,0,0,0,0,0,0,28,85,10,0,0,0,6,0
