Project,Commit,TestFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,Assertion RouletteRemoved,Conditional Test LogicRemoved,Constructor InitializationRemoved,Default TestRemoved,EmptyTestRemoved,Exception Catching ThrowingRemoved,General FixtureRemoved,Mystery GuestRemoved,Print StatementRemoved,Redundant AssertionRemoved,Sensitive EqualityRemoved,Verbose TestRemoved,Sleepy TestRemoved,Eager TestRemoved,Lazy TestRemoved,Duplicate AssertRemoved,Unknown TestRemoved,IgnoredTestRemoved,Resource OptimismRemoved,Magic Number TestRemoved,Dependent TestRemoved
zookeeper,422058c222a8a31ec7cfd4113fbdc036181f751d,src/java/test/org/apache/zookeeper/ZooKeeperTest.java,9,4,0,0,0,30,0,0,0,0,1,0,0,3,23,4,12,1,0,7,0,9,4,0,0,0,29,0,0,0,0,0,0,0,3,21,4,12,1,0,7,0
zookeeper,3cd87f06911c6fd806364bf46ae074e7c6096452,src/java/test/org/apache/zookeeper/ZooKeeperTest.java,9,4,0,0,0,30,0,0,0,0,1,0,0,3,23,4,12,1,0,7,0,9,4,0,0,0,30,0,0,0,0,1,0,0,3,23,4,12,1,0,7,0
zookeeper,a601b032915e85a5f693e7ef247700fefb950a12,src/java/test/org/apache/zookeeper/ZooKeeperTest.java,3,4,0,0,0,12,0,0,0,0,1,0,0,2,19,0,0,0,0,7,0,9,4,0,0,0,29,0,0,0,0,0,0,0,3,21,4,12,1,0,7,0
zookeeper,bcb07a09b06c91243ed244f04a71b8daf629e286,src/java/test/org/apache/zookeeper/server/quorum/ReconfigLegacyTest.java,3,3,0,0,0,3,0,0,0,0,0,0,1,,,2,0,0,0,1,0,9,4,0,0,0,30,0,0,0,0,1,0,0,3,23,4,12,1,0,7,0
zookeeper,73e102a58d01b27bc6208bbfbde2d12f0deba1f4,src/java/systest/org/apache/zookeeper/test/system/BaseSysTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0,3,4,0,0,0,11,0,0,0,0,0,0,0,2,17,0,0,0,0,7,0
zookeeper,73e102a58d01b27bc6208bbfbde2d12f0deba1f4,src/java/test/org/apache/zookeeper/TestableZooKeeper.java,0,0,0,0,0,2,0,0,0,0,0,0,0,,,0,5,0,0,0,0,3,4,0,0,0,12,0,0,0,0,1,0,0,2,19,0,0,0,0,7,0
zookeeper,73e102a58d01b27bc6208bbfbde2d12f0deba1f4,src/java/test/org/apache/zookeeper/server/DataTreeTest.java,0,0,0,0,0,5,3,0,0,0,0,0,0,4,13,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,1,,,2,0,0,0,1,0
zookeeper,73e102a58d01b27bc6208bbfbde2d12f0deba1f4,src/java/test/org/apache/zookeeper/server/quorum/LearnerTest.java,1,0,0,0,0,3,0,1,0,0,0,0,0,2,2,0,0,0,1,1,0,3,3,0,0,0,3,0,0,0,0,0,0,1,,,2,0,0,0,1,0
zookeeper,73e102a58d01b27bc6208bbfbde2d12f0deba1f4,src/java/test/org/apache/zookeeper/server/quorum/RaceConditionTest.java,0,0,0,0,0,1,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0
zookeeper,73e102a58d01b27bc6208bbfbde2d12f0deba1f4,src/java/test/org/apache/zookeeper/server/quorum/ReconfigBackupTest.java,3,3,0,0,0,3,0,2,0,0,0,0,0,,,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0
zookeeper,73e102a58d01b27bc6208bbfbde2d12f0deba1f4,src/java/test/org/apache/zookeeper/server/quorum/ReconfigDuringLeaderSyncTest.java,1,1,0,0,0,1,0,1,0,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,,0,5,0,0,0,0
zookeeper,73e102a58d01b27bc6208bbfbde2d12f0deba1f4,src/java/test/org/apache/zookeeper/server/quorum/ReconfigFailureCasesTest.java,1,2,0,0,0,5,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,,0,5,0,0,0,0
zookeeper,73e102a58d01b27bc6208bbfbde2d12f0deba1f4,src/java/test/org/apache/zookeeper/server/quorum/ReconfigLegacyTest.java,3,3,0,0,0,3,0,0,0,0,0,0,1,,,2,0,0,0,1,0,0,0,0,0,0,5,3,0,0,0,0,0,0,4,13,0,0,0,0,0,0
zookeeper,73e102a58d01b27bc6208bbfbde2d12f0deba1f4,src/java/test/org/apache/zookeeper/server/quorum/StandaloneDisabledTest.java,0,0,0,0,0,2,0,0,0,0,0,0,0,,,1,0,1,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,4,13,0,0,0,0,0,0
zookeeper,73e102a58d01b27bc6208bbfbde2d12f0deba1f4,src/java/test/org/apache/zookeeper/server/quorum/Zab1_0Test.java,2,7,0,0,0,16,0,8,0,0,0,0,3,,,0,11,0,8,3,0,1,0,0,0,0,3,0,1,0,0,0,0,0,2,2,0,0,0,1,1,0
zookeeper,73e102a58d01b27bc6208bbfbde2d12f0deba1f4,src/java/test/org/apache/zookeeper/test/ACLTest.java,0,1,0,0,0,3,0,2,0,0,0,0,0,,,1,0,0,2,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,2,2,0,0,0,1,1,0
