App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
zookeeper,0_017ca1a24c1fa5988dd3c718f90b4beedb8a6a45_AsyncHammerTest.java,/hdd/dj/testSmellDetection/data/zookeeper/2017-05-01_TO_2017-11-01//files//0_017ca1a24c1fa5988dd3c718f90b4beedb8a6a45_AsyncHammerTest.java,,2017-05-01_TO_2017-11-01//files//0_017ca1a24c1fa5988dd3c718f90b4beedb8a6a45_AsyncHammerTest.java,,0,2,0,0,0,2,0,0,0,0,0,0,2,,,0,1,0,0,0,0
zookeeper,0_acfc471eca0aab57707b59ed8d19221360d19b85_AsyncHammerTest.java,/hdd/dj/testSmellDetection/data/zookeeper/2017-05-01_TO_2017-11-01/files/0_acfc471eca0aab57707b59ed8d19221360d19b85_AsyncHammerTest.java,,2017-05-01_TO_2017-11-01/files/0_acfc471eca0aab57707b59ed8d19221360d19b85_AsyncHammerTest.java,,0,2,0,0,0,2,0,0,0,0,0,0,2,,,0,1,0,0,0,0
zookeeper,1_017ca1a24c1fa5988dd3c718f90b4beedb8a6a45_ClientTest.java,/hdd/dj/testSmellDetection/data/zookeeper/2017-05-01_TO_2017-11-01//files//1_017ca1a24c1fa5988dd3c718f90b4beedb8a6a45_ClientTest.java,,2017-05-01_TO_2017-11-01//files//1_017ca1a24c1fa5988dd3c718f90b4beedb8a6a45_ClientTest.java,,8,8,0,0,0,15,0,0,0,1,0,0,1,,,3,5,0,0,5,0
zookeeper,1_acfc471eca0aab57707b59ed8d19221360d19b85_ClientTest.java,/hdd/dj/testSmellDetection/data/zookeeper/2017-05-01_TO_2017-11-01/files/1_acfc471eca0aab57707b59ed8d19221360d19b85_ClientTest.java,,2017-05-01_TO_2017-11-01/files/1_acfc471eca0aab57707b59ed8d19221360d19b85_ClientTest.java,,8,8,0,0,0,15,0,0,0,1,0,0,1,,,3,5,0,0,5,0
zookeeper,2_acd116af648b962ff12c9289577fa8832ae91f5f_AsyncHammerTest.java,/hdd/dj/testSmellDetection/data/zookeeper/2017-05-01_TO_2017-11-01//files//2_acd116af648b962ff12c9289577fa8832ae91f5f_AsyncHammerTest.java,,2017-05-01_TO_2017-11-01//files//2_acd116af648b962ff12c9289577fa8832ae91f5f_AsyncHammerTest.java,,0,2,0,0,0,2,0,0,0,0,0,0,2,,,0,1,0,0,0,0
zookeeper,2_1b855d20129b9d308b90387ff4b088128eed89d9_AsyncHammerTest.java,/hdd/dj/testSmellDetection/data/zookeeper/2017-05-01_TO_2017-11-01/files/2_1b855d20129b9d308b90387ff4b088128eed89d9_AsyncHammerTest.java,,2017-05-01_TO_2017-11-01/files/2_1b855d20129b9d308b90387ff4b088128eed89d9_AsyncHammerTest.java,,0,2,0,0,0,2,0,0,0,0,0,0,2,,,0,1,0,0,0,0
zookeeper,3_acd116af648b962ff12c9289577fa8832ae91f5f_ClientTest.java,/hdd/dj/testSmellDetection/data/zookeeper/2017-05-01_TO_2017-11-01//files//3_acd116af648b962ff12c9289577fa8832ae91f5f_ClientTest.java,,2017-05-01_TO_2017-11-01//files//3_acd116af648b962ff12c9289577fa8832ae91f5f_ClientTest.java,,8,8,0,0,0,15,0,0,0,1,0,0,1,,,3,5,0,0,5,0
zookeeper,3_1b855d20129b9d308b90387ff4b088128eed89d9_ClientTest.java,/hdd/dj/testSmellDetection/data/zookeeper/2017-05-01_TO_2017-11-01/files/3_1b855d20129b9d308b90387ff4b088128eed89d9_ClientTest.java,,2017-05-01_TO_2017-11-01/files/3_1b855d20129b9d308b90387ff4b088128eed89d9_ClientTest.java,,8,8,0,0,0,15,0,0,0,1,0,0,1,,,3,5,0,0,5,0
zookeeper,4_acfc471eca0aab57707b59ed8d19221360d19b85_BaseSysTest.java,/hdd/dj/testSmellDetection/data/zookeeper/2017-05-01_TO_2017-11-01//files//4_acfc471eca0aab57707b59ed8d19221360d19b85_BaseSysTest.java,,2017-05-01_TO_2017-11-01//files//4_acfc471eca0aab57707b59ed8d19221360d19b85_BaseSysTest.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0
zookeeper,4_a680655a3569bfc546712cb85eeaea8c9b7de3ad_BaseSysTest.java,/hdd/dj/testSmellDetection/data/zookeeper/2017-05-01_TO_2017-11-01/files/4_a680655a3569bfc546712cb85eeaea8c9b7de3ad_BaseSysTest.java,,2017-05-01_TO_2017-11-01/files/4_a680655a3569bfc546712cb85eeaea8c9b7de3ad_BaseSysTest.java,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0
