,parent_commit,parent_test_file,current_commit,current_test_file,committer,committed_date,change_type,parent_prod_file,current_prod_file,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
0,d53e4ca2d198b0ec311e9ac5427e481e02b9f878,src/java/test/org/apache/zookeeper/server/quorum/QuorumPeerMainTest.java,fd25ee3d2fb01c9cd488d00430e3635db2c2be02,src/java/test/org/apache/zookeeper/server/quorum/QuorumPeerMainTest.java,Camille Fournier,1515375013,M,/hdd/dj/testSmellDetection/gitRepo/zookeeper/src/java/main/org/apache/zookeeper/server/quorum/QuorumPeerMain.java,/hdd/dj/testSmellDetection/gitRepo/zookeeper/src/java/main/org/apache/zookeeper/server/quorum/QuorumPeerMain.java,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,,,4d629d289fc4b1079fff2244b92a337e4068e240,src/java/test/org/apache/zookeeper/server/persistence/FileTxnLogTest.java,Patrick Hunt,1516318991,A,,/hdd/dj/testSmellDetection/gitRepo/zookeeper/src/java/main/org/apache/zookeeper/server/persistence/FileTxnLog.java,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0
2,,,5fc4a8b8e937afe99bc0837e6e1f46763c358156,src/java/test/org/apache/zookeeper/server/persistence/FileTxnLogTest.java,Patrick Hunt,1516319063,A,,/hdd/dj/testSmellDetection/gitRepo/zookeeper/src/java/main/org/apache/zookeeper/server/persistence/FileTxnLog.java,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0
3,,,3fcf7bb46223f1c53e84f5559b7a7751ef9c2322,src/java/test/org/apache/zookeeper/server/persistence/FileTxnLogTest.java,Patrick Hunt,1516319211,A,,/hdd/dj/testSmellDetection/gitRepo/zookeeper/src/java/main/org/apache/zookeeper/server/persistence/FileTxnLog.java,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0
4,4d629d289fc4b1079fff2244b92a337e4068e240,src/java/test/org/apache/zookeeper/server/quorum/QuorumPeerMainTest.java,77d6b763a7772553ecfa81e3d3ef177452ad16a7,src/java/test/org/apache/zookeeper/server/quorum/QuorumPeerMainTest.java,Patrick Hunt,1516319563,M,/hdd/dj/testSmellDetection/gitRepo/zookeeper/src/java/main/org/apache/zookeeper/server/quorum/QuorumPeerMain.java,/hdd/dj/testSmellDetection/gitRepo/zookeeper/src/java/main/org/apache/zookeeper/server/quorum/QuorumPeerMain.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5fc4a8b8e937afe99bc0837e6e1f46763c358156,src/java/test/org/apache/zookeeper/server/quorum/QuorumPeerMainTest.java,245d2333f3839b3367e653dacc546fd8c402802b,src/java/test/org/apache/zookeeper/server/quorum/QuorumPeerMainTest.java,Patrick Hunt,1516319777,M,/hdd/dj/testSmellDetection/gitRepo/zookeeper/src/java/main/org/apache/zookeeper/server/quorum/QuorumPeerMain.java,/hdd/dj/testSmellDetection/gitRepo/zookeeper/src/java/main/org/apache/zookeeper/server/quorum/QuorumPeerMain.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3fcf7bb46223f1c53e84f5559b7a7751ef9c2322,src/java/test/org/apache/zookeeper/server/quorum/QuorumPeerMainTest.java,c9da2e287bc28ef05a62e5eb7f78f6dac2a864bd,src/java/test/org/apache/zookeeper/server/quorum/QuorumPeerMainTest.java,Patrick Hunt,1516319966,M,/hdd/dj/testSmellDetection/gitRepo/zookeeper/src/java/main/org/apache/zookeeper/server/quorum/QuorumPeerMain.java,/hdd/dj/testSmellDetection/gitRepo/zookeeper/src/java/main/org/apache/zookeeper/server/quorum/QuorumPeerMain.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,069c3e4fccbd56307b19b57864fbf6312ace2219,src/java/test/org/apache/zookeeper/server/ZooKeeperServerStartupTest.java,aefb13f2b289e19e32c0fcc5714711b07989d67f,src/java/test/org/apache/zookeeper/server/ZooKeeperServerStartupTest.java,Abraham Fine,1517961918,M,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,,,aefb13f2b289e19e32c0fcc5714711b07989d67f,src/java/test/org/apache/zookeeper/server/quorum/LeaderBeanTest.java,Abraham Fine,1517961918,A,,/hdd/dj/testSmellDetection/gitRepo/zookeeper/src/java/main/org/apache/zookeeper/server/quorum/LeaderBean.java,2.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0
9,,,aefb13f2b289e19e32c0fcc5714711b07989d67f,src/java/test/org/apache/zookeeper/server/quorum/ProposalStatsTest.java,Abraham Fine,1517961918,A,,/hdd/dj/testSmellDetection/gitRepo/zookeeper/src/java/main/org/apache/zookeeper/server/quorum/ProposalStats.java,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,1.0,0.0,0.0,0.0,2.0,0.0
